# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
260 94 4201 1 102 57 280 1420800 1228800 5
262 53 4202 3 95 107 661 1420800 1228800 1
264 57 4206 1 100 77 425 1420800 1228800 1
266 154 4173 1 103 58 365 614400 633600 2
268 59 4204 1 103 66 434 1228800 633600 6
270 64 4202 1 102 47 344 1420800 1804800 5
272 63 4198 1 93 98 429 614400 1228800 30
274 53 4205 1 101 70 405 1420800 844800 11
276 237 4176 1 103 51 392 1228800 1228800 5
278 53 4204 1 102 89 469 1420800 1228800 1
280 77 4198 1 100 55 333 1420800 844800 1
282 172 4169 1 96 90 466 1036800 1228800 6
284 136 4187 1 98 61 368 1420800 633600 24
286 67 4201 1 99 54 348 614400 1228800 5
288 184 4181 1 106 72 433 614400 1228800 1
290 80 4190 2 93 113 663 1228800 1228800 5
292 159 4171 1 100 99 496 1228800 1036800 1
294 99 4200 1 106 57 383 1228800 1228800 2
296 54 4201 1 100 58 387 1420800 1228800 5
298 102 4185 1 85 87 457 1420800 1228800 5
300 54 4203 1 112 69 475 614400 1228800 5
302 156 4171 1 102 73 489 614400 1228800 1
304 53 4203 1 103 47 362 1420800 633600 5
306 83 4197 1 97 78 428 1420800 1228800 1
308 145 4183 1 98 62 427 1420800 1228800 20
310 54 4203 1 104 56 362 1228800 1228800 6
312 158 4169 1 103 87 442 1228800 844800 6
314 53 4201 1 94 86 556 844800 633600 8
316 52 4204 1 104 64 471 1228800 1228800 4
318 53 4198 1 100 49 339 1228800 1228800 8
320 105 4189 1 103 49 365 1420800 1228800 4
322 231 4144 2 102 89 510 1420800 633600 1
324 53 4201 1 95 83 414 844800 633600 3
326 53 4204 1 103 64 532 844800 1228800 7
328 69 4187 2 103 72 380 1228800 1228800 5
330 57 4196 1 99 65 467 844800 1228800 1
332 260 4159 1 102 55 392 1228800 633600 6
334 183 4178 1 97 79 365 1228800 633600 21
336 55 4202 1 102 77 441 1228800 1228800 1
338 147 4159 1 104 53 424 1420800 1228800 2
340 179 4170 1 95 92 460 844800 1228800 12
342 275 4155 1 99 78 383 1420800 633600 6
344 58 4199 1 100 61 452 614400 1228800 1
346 53 4200 1 98 55 273 1228800 1228800 5
348 85 4195 1 108 65 368 614400 1228800 1
350 128 4181 1 95 77 483 844800 1228800 1
352 54 4195 1 100 64 443 1420800 1228800 1
354 53 4199 1 101 69 409 1420800 1228800 9
356 157 4180 2 100 99 579 1228800 844800 5
358 157 4170 1 95 64 283 614400 1228800 1
# window_from=2  # samples before this mark saw a lit panel
