== gap logger start 2026-09-06 06:04:26  (v4: presses counted; EVERY gap >= 100 ms, down= annotated, never filtered)
06:05:30.197  RELEASE #80  held 109 ms
06:05:30.281  PRESS   #81
06:05:30.370  RELEASE #81  held 89 ms
06:05:30.447  PRESS   #82
06:05:30.520  RELEASE #82  held 73 ms
06:05:30.580  PRESS   #83
06:05:30.663  RELEASE #83  held 83 ms
06:05:30.754  PRESS   #84
06:05:30.829  RELEASE #84  held 76 ms
06:05:30.903  PRESS   #85
06:05:30.970  RELEASE #85  held 67 ms
06:05:31.062  PRESS   #86
06:05:31.163  RELEASE #86  held 100 ms
06:05:31.269  PRESS   #87
06:05:31.352  RELEASE #87  held 83 ms
06:05:31.429  PRESS   #88
06:05:31.485  RELEASE #88  held 56 ms
06:05:31.685  PRESS   #89
06:05:31.769  RELEASE #89  held 84 ms
