# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
128 53 4308 26 0 0 0x1 0 0 0 0x0 4 4 38 0x0 21 21 86 0x0 
130 200 4283 16 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 82 0x0 
132 169 4272 25 0 0 0x1 0 0 0 0x0 3 3 39 0x1 19 19 83 0x0 
134 158 4284 31 0 0 0x1 0 0 0 0x0 6 6 70 0x0 20 20 77 0x0 
136 62 4289 24 0 0 0x1 0 0 0 0x0 6 6 84 0x0 14 14 54 0x0 
138 53 4294 40 0 0 0x1 0 0 0 0x0 3 3 54 0x1 6 6 17 0x1 
140 168 4285 33 0 0 0x1 0 0 0 0x0 8 8 84 0x0 12 12 33 0x0 
142 53 4305 23 0 0 0x1 0 0 0 0x0 6 6 82 0x0 19 19 80 0x1 
144 53 4306 36 0 0 0x1 0 0 0 0x0 3 3 51 0x1 20 20 78 0x0 
146 53 4305 18 0 0 0x1 0 0 0 0x0 7 7 83 0x0 21 21 84 0x0 
148 169 4266 36 0 0 0x1 0 0 0 0x0 5 5 60 0x1 20 20 82 0x0 
150 187 4291 16 0 0 0x1 0 0 0 0x0 5 5 65 0x1 21 21 83 0x0 
152 53 4303 28 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 84 0x0 
154 143 4283 32 0 0 0x1 0 0 0 0x0 3 3 39 0x0 19 19 87 0x1 
156 62 4302 21 0 0 0x1 0 0 0 0x0 7 7 91 0x0 20 20 81 0x0 
158 144 4286 32 0 0 0x1 0 0 0 0x0 7 7 73 0x0 20 20 73 0x0 
160 120 4275 35 0 0 0x1 0 0 0 0x0 0 0 13 0x1 20 20 80 0x0 
162 200 4286 32 0 0 0x1 0 0 0 0x0 7 7 80 0x1 20 20 85 0x0 
164 154 4273 31 0 0 0x1 0 0 0 0x0 3 3 41 0x1 19 18 78 0x0 
166 53 4300 11 0 0 0x1 0 0 0 0x0 6 6 62 0x0 16 16 68 0x1 
168 57 4299 29 0 0 0x1 0 0 0 0x0 6 6 98 0x1 20 20 82 0x0 
170 65 4286 26 0 0 0x1 0 0 0 0x0 3 3 13 0x0 14 13 49 0x1 
172 76 4297 29 0 0 0x1 0 0 0 0x0 6 6 84 0x0 8 8 16 0x0 
