# uptime_s cap_pct v_uV cur_uA temp_dC bl_power status
42072.69 85 4030348 -70953 268 4 Discharging
42082.76 85 4029181 -60577 267 4 Discharging
42092.84 85 4031711 -58288 268 4 Discharging
42102.92 85 4028597 -56457 267 4 Discharging
42113.00 85 3988891 -214233 267 4 Discharging
42123.07 85 4015167 -141601 267 4 Discharging
42133.16 85 4012831 -149078 267 4 Discharging
42143.24 85 4029764 -54779 267 4 Discharging
42153.32 85 4018670 -163269 268 4 Discharging
42163.39 85 4030932 -55694 267 4 Discharging
42173.47 85 4027818 -55694 267 4 Discharging
42183.55 85 3996676 -175933 267 4 Discharging
42193.62 85 4028207 -54779 267 4 Discharging
42203.70 85 4010495 -139007 267 4 Discharging
42213.78 85 4028986 -54931 267 4 Discharging
42223.86 85 4027623 -55694 267 4 Discharging
42233.94 85 4008354 -198059 267 4 Discharging
42244.02 85 3997844 -171508 267 4 Discharging
42254.09 85 3998233 -163116 267 4 Discharging
42264.16 85 4024120 -54931 267 4 Discharging
42274.25 85 4029959 -55389 267 4 Discharging
42284.33 85 4030154 -54779 267 4 Discharging
42294.40 85 4029570 -54473 267 4 Discharging
42304.48 85 4011079 -153198 267 4 Discharging
42314.55 85 4020811 -114441 267 4 Discharging
42324.63 85 4008938 -160369 267 4 Discharging
42334.72 85 4004072 -155944 267 4 Discharging
42344.79 85 3964561 -269775 267 4 Discharging
42354.87 85 3992978 -185699 267 4 Discharging
42364.94 85 4008938 -185241 268 4 Discharging
42375.03 85 4025677 -55847 267 4 Discharging
42385.11 85 4029181 -56304 267 4 Discharging
42395.19 85 4028207 -55084 267 4 Discharging
42405.30 85 4018086 -56610 267 4 Discharging
42415.38 85 3991810 -194854 267 4 Discharging
42425.45 85 4009328 -156097 267 4 Discharging
42435.53 85 4013610 -102386 267 4 Discharging
42445.61 84 4001737 -162201 267 4 Discharging
42455.68 84 4006797 -182190 267 4 Discharging
42465.74 84 4027623 -54473 267 4 Discharging
42475.84 84 4023731 -54931 267 4 Discharging
42485.90 84 3986166 -293426 268 4 Discharging
42495.98 84 4027429 -55084 267 4 Discharging
42506.05 84 4013026 -173339 267 4 Discharging
42516.14 84 4005046 -110015 267 4 Discharging
42526.22 84 4009911 -183715 267 4 Discharging
42536.30 84 3982662 -215454 267 4 Discharging
42546.39 84 4022563 -55084 267 4 Discharging
42556.46 84 3988307 -211486 267 4 Discharging
42566.54 84 4027040 -54626 267 4 Discharging
42576.63 84 4026261 -54779 267 4 Discharging
42586.70 84 4022758 -72021 267 4 Discharging
42596.78 84 4002126 -200653 267 4 Discharging
42606.85 84 4026066 -55389 267 4 Discharging
42616.93 84 4003488 -166320 267 4 Discharging
42627.01 84 3996287 -159301 267 4 Discharging
42637.08 84 4024509 -55236 267 4 Discharging
42647.18 84 4009133 -118255 267 4 Discharging
42657.25 84 4024509 -55389 267 4 Discharging
42667.33 84 3995703 -281830 267 4 Discharging
42677.41 84 4005629 -151977 267 4 Discharging
42687.48 84 4021979 -54626 267 4 Discharging
42697.55 84 3973320 -244293 267 4 Discharging
42707.64 84 4024509 -55084 267 4 Discharging
42717.72 84 4023731 -54779 267 4 Discharging
42727.79 84 4007770 -158233 267 4 Discharging
42737.88 84 4009328 -92773 267 4 Discharging
42747.94 84 4014388 -90484 267 4 Discharging
42758.02 84 4014193 -66223 267 4 Discharging
42768.10 84 3977018 -266113 267 4 Discharging
42778.19 84 4013804 -68206 267 4 Discharging
42788.27 84 4019254 -66223 267 4 Discharging
42798.35 84 4021395 -55084 267 4 Discharging
42808.44 84 4000374 -170288 267 4 Discharging
42818.52 84 3993562 -230255 267 4 Discharging
42828.60 84 4021200 -55389 267 4 Discharging
42838.68 84 4002515 -149078 267 4 Discharging
42848.77 84 3989475 -186157 267 4 Discharging
42858.84 84 4021395 -54016 267 4 Discharging
42868.93 84 4008938 -252685 267 4 Discharging
42879.01 84 4014972 -64849 267 4 Discharging
42889.08 84 4006603 -73852 267 4 Discharging
42899.17 84 4002905 -88348 267 4 Discharging
42909.25 84 3989864 -159607 267 4 Discharging
42919.33 84 3983635 -222931 267 4 Discharging
42929.40 84 4018476 -56304 267 4 Discharging
42939.50 84 4019643 -70037 267 4 Discharging
42949.58 84 4002126 -147400 267 4 Discharging
42959.65 84 4009717 -111084 267 4 Discharging
42969.75 84 4002321 -153045 267 4 Discharging
42979.82 84 4007381 -146179 267 4 Discharging
42989.90 84 4015945 -55847 267 4 Discharging
42999.98 84 3989085 -163269 267 4 Discharging
43010.08 84 4018476 -149078 267 4 Discharging
43020.16 84 4017308 -74462 267 4 Discharging
43030.24 84 4016724 -117034 267 4 Discharging
43040.32 84 3991810 -197143 267 4 Discharging
43050.40 84 4019449 -55847 267 4 Discharging
43060.48 84 4018865 -55847 267 4 Discharging
43070.56 84 3977018 -169677 267 4 Discharging
43080.64 84 3987528 -176239 267 4 Discharging
43090.71 84 4001931 -127258 267 4 Discharging
43100.79 84 4012636 -65460 267 4 Discharging
43111.02 84 3988891 -211792 267 4 Discharging
43121.10 84 4018865 -54931 267 4 Discharging
43131.19 84 4002321 -120086 267 4 Discharging
43141.27 84 3988112 -161438 267 4 Discharging
43151.35 84 3981105 -179901 267 4 Discharging
43161.42 84 4017113 -265960 267 4 Discharging
43171.49 84 4014193 -69427 267 4 Discharging
43181.59 84 3990837 -242157 267 4 Discharging
43191.68 84 4003878 -139312 267 4 Discharging
43201.76 84 4017892 -55084 267 4 Discharging
43211.85 84 3975850 -213470 267 4 Discharging
43221.92 84 3987528 -177154 267 4 Discharging
43232.01 84 4014972 -55542 267 4 Discharging
43242.11 84 4015751 -55389 267 4 Discharging
43252.19 84 3992783 -162201 267 4 Discharging
43262.26 84 4018086 -55389 267 4 Discharging
43272.34 84 4014583 -55084 267 4 Discharging
43282.42 84 3994730 -107269 267 4 Discharging
43292.50 84 3979937 -239563 267 4 Discharging
43302.58 84 4005240 -163421 267 4 Discharging
43312.65 84 4015945 -55236 267 4 Discharging
43322.72 84 4001347 -94604 266 4 Discharging
43332.82 84 4009522 -131836 267 4 Discharging
43342.89 84 4015556 -55389 267 4 Discharging
43352.97 84 4010690 -55694 267 4 Discharging
43363.05 84 3969622 -178222 267 4 Discharging
43373.14 84 4015751 -54779 266 4 Discharging
43383.22 84 4015556 -54779 266 4 Discharging
43393.31 84 4008938 -70343 266 4 Discharging
43403.39 83 3996871 -161438 267 4 Discharging
43413.48 83 4013999 -59661 266 4 Discharging
43423.56 83 3976239 -207672 267 4 Discharging
43433.65 83 3984998 -174102 267 4 Discharging
43443.72 83 4006797 -119934 267 4 Discharging
43453.80 83 4013220 -56304 266 4 Discharging
43463.87 83 3990642 -114288 267 4 Discharging
43473.95 83 3987139 -184326 267 4 Discharging
43484.04 83 3981494 -163421 267 4 Discharging
43494.11 83 3977212 -188751 267 4 Discharging
43504.20 83 3978575 -169067 267 4 Discharging
43514.28 83 3984998 -167694 267 4 Discharging
43524.35 83 3981105 -216674 267 4 Discharging
43534.42 83 3984803 -198516 267 4 Discharging
43544.51 83 3983830 -236206 267 4 Discharging
43554.59 83 4001931 -108490 266 4 Discharging
43564.68 83 4012052 -55694 266 4 Discharging
43574.78 83 4007381 -54931 267 4 Discharging
43584.86 83 3955997 -236358 267 4 Discharging
43594.95 83 4012831 -56152 267 4 Discharging
43605.03 83 3982078 -160217 267 4 Discharging
43615.12 83 3979353 -248413 267 4 Discharging
43625.21 83 4009717 -93689 266 4 Discharging
43635.28 83 4000764 -103149 267 4 Discharging
43645.37 83 4001347 -150451 267 4 Discharging
43655.49 83 3972930 -208892 267 4 Discharging
43665.57 83 4012247 -55389 267 4 Discharging
43675.68 83 3988696 -171814 267 4 Discharging
43685.76 83 4008744 -55847 267 4 Discharging
43695.83 83 3993562 -167236 267 4 Discharging
43705.94 83 3993367 -154113 267 4 Discharging
43716.02 83 4006797 -65307 267 4 Discharging
43726.26 83 4008354 -54626 267 4 Discharging
43736.34 83 4001542 -54931 267 4 Discharging
43746.43 83 3955218 -218200 267 4 Discharging
43756.51 83 3981689 -170440 267 4 Discharging
43766.60 83 3992978 -162811 267 4 Discharging
43776.69 83 4004851 -63629 267 4 Discharging
43786.77 83 4009133 -55236 267 4 Discharging
43796.85 83 4008744 -55542 267 4 Discharging
43806.94 83 3985193 -95672 267 4 Discharging
43817.02 83 3977796 -213318 268 4 Discharging
43827.10 83 3960279 -219268 267 4 Discharging
43837.19 83 3994341 -101776 267 4 Discharging
43847.28 83 3994924 -107727 267 4 Discharging
43857.36 83 4007576 -54779 268 4 Discharging
43867.44 83 3995119 -111694 267 4 Discharging
43877.55 83 4000374 -55542 267 4 Discharging
43887.62 83 3973125 -196380 267 4 Discharging
43897.69 83 4004267 -54931 268 4 Discharging
43907.79 83 3969816 -249176 267 4 Discharging
43917.87 83 3990448 -115203 267 4 Discharging
43927.95 83 3992200 -120697 268 4 Discharging
43938.05 83 4005824 -55694 267 4 Discharging
43948.13 83 4004267 -55236 267 4 Discharging
43958.21 83 3976434 -174255 268 4 Discharging
43968.28 83 4003683 -55694 267 4 Discharging
43978.38 83 3979548 -230255 267 4 Discharging
43988.46 83 4003488 -55389 268 4 Discharging
43998.54 83 4006408 -54779 268 4 Discharging
44008.63 83 4004851 -54626 268 4 Discharging
44018.71 83 3976823 -149841 268 4 Discharging
44028.79 83 3999985 -55236 268 4 Discharging
44038.86 83 3955218 -218048 268 4 Discharging
44048.95 83 3985971 -118866 267 4 Discharging
44059.03 83 4006019 -54779 268 4 Discharging
44069.12 83 3981884 -145874 268 4 Discharging
44079.24 83 3997260 -100097 267 4 Discharging
44089.31 83 3999790 -59051 268 4 Discharging
44099.39 83 3985387 -113678 268 4 Discharging
44109.49 83 3970984 -163116 268 4 Discharging
44119.56 83 3967481 -244903 268 4 Discharging
44129.64 83 3980132 -129699 268 4 Discharging
44139.72 83 4000569 -69885 268 4 Discharging
44149.83 83 3968843 -185241 268 4 Discharging
44159.90 83 3977407 -204773 268 4 Discharging
44169.98 83 4001153 -55694 268 4 Discharging
44180.06 83 3964172 -219116 268 4 Discharging
44190.12 83 3960474 -264435 268 4 Discharging
44200.19 83 3978770 -207214 268 4 Discharging
44210.27 83 3994730 -131836 268 4 Discharging
44220.36 83 3985193 -129242 268 4 Discharging
44230.43 83 4001542 -55389 268 4 Discharging
44240.50 83 4002126 -55847 268 4 Discharging
44250.61 83 3996676 -56457 268 4 Discharging
44260.69 83 3957943 -196685 268 4 Discharging
44270.76 83 3967091 -227508 268 4 Discharging
44280.84 83 4003488 -55999 268 4 Discharging
44290.94 83 4001542 -70190 268 4 Discharging
44301.02 83 4001347 -55389 268 4 Discharging
44311.09 83 3992783 -105133 268 4 Discharging
44321.18 83 3996482 -54931 268 4 Discharging
44331.26 83 3948406 -274048 268 4 Discharging
44341.34 83 3998623 -55236 268 4 Discharging
44351.45 83 3997260 -82092 268 4 Discharging
44361.54 83 4001347 -55389 268 4 Discharging
44371.62 83 3998623 -56152 269 4 Discharging
44381.69 83 3993757 -126037 268 4 Discharging
44391.78 83 3989864 -60119 268 4 Discharging
44401.86 83 3962420 -160217 268 4 Discharging
44411.95 83 3940426 -279083 268 4 Discharging
44422.04 83 3969427 -231018 268 4 Discharging
44432.13 82 3994535 -55999 268 4 Discharging
44442.21 82 3957554 -250396 268 4 Discharging
44452.32 82 3999985 -54016 268 4 Discharging
44462.40 82 3999401 -66986 268 4 Discharging
44472.48 82 3972930 -139770 268 4 Discharging
44482.57 82 3952494 -264587 268 4 Discharging
44492.64 82 3965924 -236969 268 4 Discharging
44502.72 82 3983246 -128631 268 4 Discharging
44512.79 82 3999012 -54626 268 4 Discharging
44522.87 82 3978186 -107879 268 4 Discharging
44532.95 82 3997649 -55236 268 4 Discharging
44543.03 82 3994924 -56457 268 4 Discharging
44553.11 82 3952104 -242004 268 4 Discharging
44563.18 82 3970595 -128479 268 4 Discharging
44573.26 82 3998233 -56457 268 4 Discharging
44583.33 82 3997260 -55389 268 4 Discharging
44593.43 82 4000180 -55389 267 4 Discharging
44603.51 82 3996871 -54931 267 4 Discharging
44613.59 82 3991032 -56762 267 4 Discharging
44623.69 82 3955218 -166015 268 4 Discharging
44633.77 82 3995314 -55847 267 4 Discharging
44643.86 82 3978964 -193328 268 4 Discharging
44653.96 82 3996871 -69580 267 4 Discharging
44664.03 82 3997649 -56152 268 4 Discharging
44674.11 82 3993562 -71411 268 4 Discharging
44684.20 82 3994341 -55084 268 4 Discharging
44694.29 82 3959306 -250244 268 4 Discharging
44704.36 82 3969816 -184631 267 4 Discharging
44714.44 82 3971373 -225067 268 4 Discharging
44724.55 82 3992589 -56152 268 4 Discharging
44734.62 82 3995703 -56457 267 4 Discharging
44744.71 82 3996482 -55847 267 4 Discharging
44754.81 82 3989864 -69885 267 4 Discharging
44764.89 82 3956970 -225982 268 4 Discharging
44774.97 82 3960668 -264282 268 4 Discharging
44785.08 82 3978770 -153808 268 4 Discharging
44795.17 82 3996092 -55847 268 4 Discharging
44805.25 82 3993173 -85907 268 4 Discharging
44815.32 82 3981884 -154571 267 4 Discharging
44825.40 82 3988501 -55694 268 4 Discharging
44835.48 82 3931083 -359497 268 4 Discharging
44845.56 82 3980327 -157013 267 4 Discharging
44855.67 82 3947238 -257263 268 4 Discharging
44865.73 82 3995314 -55694 267 4 Discharging
44875.81 82 3995314 -54321 268 4 Discharging
44885.91 82 3995314 -56304 268 4 Discharging
44896.00 82 3992783 -54931 268 4 Discharging
44906.08 82 3955218 -176849 268 4 Discharging
44916.16 82 3989669 -59509 268 4 Discharging
44926.25 82 3967286 -189666 267 4 Discharging
44936.32 82 3995703 -54779 267 4 Discharging
44946.41 82 3986360 -100555 268 4 Discharging
44956.52 82 3993951 -55389 268 4 Discharging
44966.60 82 3973709 -132141 267 4 Discharging
44976.68 82 3955997 -173339 268 4 Discharging
44986.79 82 3962615 -241089 268 4 Discharging
44996.86 82 3965534 -172271 267 4 Discharging
45006.93 82 3994146 -55999 268 4 Discharging
45017.01 82 3980911 -153198 267 4 Discharging
45027.09 82 3993173 -55389 268 4 Discharging
45037.18 82 3988501 -66528 268 4 Discharging
45047.25 82 3949574 -251465 268 4 Discharging
45057.35 82 3993173 -55847 268 4 Discharging
45067.43 82 3987917 -56152 268 4 Discharging
45077.50 82 3957554 -145721 268 4 Discharging
45087.59 82 3993951 -56152 268 4 Discharging
45097.66 82 3990059 -106353 268 4 Discharging
45107.74 82 3958527 -162658 268 4 Discharging
45117.84 82 3952104 -189972 268 4 Discharging
45127.91 82 3962031 -186157 268 4 Discharging
45138.00 82 3988501 -93078 268 4 Discharging
45148.09 82 3960668 -188141 268 4 Discharging
45158.19 82 3991810 -55999 268 4 Discharging
45168.27 82 3991810 -55542 268 4 Discharging
45178.34 82 3986750 -59967 268 4 Discharging
45188.45 82 3989669 -54931 268 4 Discharging
45198.53 82 3957359 -160980 268 4 Discharging
45208.61 82 3983635 -85601 268 4 Discharging
45218.69 82 3961836 -206604 268 4 Discharging
45228.77 82 3972152 -155792 268 4 Discharging
45238.85 82 3991226 -54626 268 4 Discharging
45248.94 82 3980521 -166778 268 4 Discharging
45259.06 82 3988696 -56457 268 4 Discharging
45269.14 82 3959890 -159607 268 4 Discharging
45279.21 82 3941205 -251617 268 4 Discharging
45289.29 82 3961447 -218353 268 4 Discharging
45299.37 82 3989280 -54473 268 4 Discharging
45309.43 82 3979743 -106659 268 4 Discharging
45319.53 82 3986750 -55084 268 4 Discharging
45329.61 82 3979159 -103454 267 4 Discharging
45339.69 82 3980521 -56762 268 4 Discharging
45349.95 82 3938285 -300293 268 4 Discharging
45360.02 82 3943346 -226745 268 4 Discharging
45370.11 82 3989475 -56457 267 4 Discharging
45380.18 82 3973904 -105133 268 4 Discharging
45390.29 82 3989864 -54473 268 4 Discharging
45400.38 82 3989475 -55847 267 4 Discharging
45410.46 82 3973125 -141906 267 4 Discharging
45420.56 82 3987528 -55542 267 4 Discharging
45430.65 82 3972541 -120849 267 4 Discharging
45440.73 82 3950158 -223846 268 4 Discharging
45450.80 82 3987917 -55236 268 4 Discharging
45460.90 82 3959500 -158233 268 4 Discharging
45470.96 82 3981494 -56457 268 4 Discharging
45481.05 82 3989085 -55847 268 4 Discharging
45491.14 81 3988891 -54779 267 4 Discharging
45501.21 81 3977602 -155639 268 4 Discharging
45511.28 81 3966313 -129547 267 4 Discharging
45521.36 81 3932057 -287170 268 4 Discharging
45531.47 81 3990059 -55847 267 4 Discharging
45541.55 81 3986750 -54626 267 4 Discharging
45551.64 81 3982078 -55694 267 4 Discharging
45561.73 81 3987334 -55847 267 4 Discharging
45571.81 81 3987334 -55084 267 4 Discharging
45581.89 81 3942956 -215606 268 4 Discharging
45592.01 81 3961252 -144653 267 4 Discharging
45602.09 81 3960668 -163421 267 4 Discharging
45612.17 81 3970595 -113220 267 4 Discharging
45622.24 81 3987723 -55847 267 4 Discharging
45632.33 81 3985582 -55389 267 4 Discharging
45642.40 81 3953856 -236511 267 4 Discharging
45652.50 81 3975655 -101776 267 4 Discharging
45662.58 81 3963393 -137176 267 4 Discharging
45672.65 81 3974098 -125274 267 4 Discharging
45682.72 81 3986166 -55999 267 4 Discharging
45692.82 81 3985776 -55847 267 4 Discharging
45702.89 81 3986944 -55694 267 4 Discharging
45712.98 81 3984803 -59814 267 4 Discharging
45723.06 81 3980911 -97198 267 4 Discharging
45733.15 81 3947822 -161132 267 4 Discharging
45743.23 81 3988112 -55542 267 4 Discharging
45753.32 81 3961641 -173187 267 4 Discharging
45763.42 81 3987139 -54931 267 4 Discharging
45773.50 81 3979743 -55847 267 4 Discharging
45783.57 81 3961641 -123138 267 4 Discharging
45793.67 81 3958138 -144806 267 4 Discharging
45803.75 81 3951131 -175628 267 4 Discharging
45813.83 81 3956776 -180359 267 4 Discharging
45823.95 81 3985582 -58441 267 4 Discharging
45834.02 81 3984609 -55694 268 4 Discharging
45844.10 81 3972541 -144958 267 4 Discharging
45854.18 81 3982468 -55084 268 4 Discharging
45864.28 81 3972347 -100708 267 4 Discharging
45874.36 81 3942178 -239563 267 4 Discharging
45884.45 81 3961058 -134277 267 4 Discharging
45894.52 81 3984803 -55084 268 4 Discharging
45904.60 81 3982857 -55847 267 4 Discharging
45914.67 81 3983246 -55694 268 4 Discharging
45924.76 81 3982468 -56152 267 4 Discharging
45934.84 81 3982078 -56610 267 4 Discharging
45944.92 81 3981884 -55542 267 4 Discharging
45954.99 81 3950353 -193634 268 4 Discharging
45965.09 81 3958138 -139312 267 4 Discharging
45975.17 81 3982857 -55389 267 4 Discharging
45985.24 81 3956386 -182190 267 4 Discharging
45995.30 81 3981689 -55542 268 4 Discharging
46005.38 81 3981105 -54779 267 4 Discharging
46015.46 81 3969232 -110015 267 4 Discharging
46025.53 81 3959306 -139007 267 4 Discharging
46035.66 81 3944124 -182495 267 4 Discharging
46045.73 81 3978964 -88958 267 4 Discharging
46055.80 81 3972736 -89874 267 4 Discharging
46065.90 81 3980132 -64392 267 4 Discharging
46075.99 81 3981689 -55999 267 4 Discharging
46086.07 81 3981884 -55999 267 4 Discharging
46096.15 81 3966313 -164795 267 4 Discharging
46106.26 81 3960863 -169983 267 4 Discharging
46116.34 81 3928748 -258484 267 4 Discharging
46126.43 81 3982273 -55236 267 4 Discharging
46136.51 81 3982078 -56304 267 4 Discharging
46146.59 81 3981494 -55542 267 4 Discharging
46156.67 81 3968259 -164642 267 4 Discharging
46166.78 81 3980132 -55847 267 4 Discharging
46176.85 81 3955997 -219421 267 4 Discharging
46186.94 81 3934587 -270843 267 4 Discharging
46197.02 81 3982078 -55084 267 4 Discharging
46207.32 81 3962225 -180664 267 4 Discharging
46217.51 81 3963199 -147857 267 4 Discharging
46227.84 81 3978186 -55847 267 4 Discharging
46237.92 81 3958527 -181121 267 4 Discharging
46248.01 81 3980716 -55542 267 4 Discharging
46258.08 81 3976434 -61645 267 4 Discharging
46268.17 81 3958333 -153350 267 4 Discharging
46278.24 81 3980521 -55389 267 4 Discharging
46288.32 81 3977991 -70648 267 4 Discharging
46298.40 81 3948017 -205230 267 4 Discharging
46308.50 81 3967481 -104675 267 4 Discharging
46318.58 81 3962225 -152282 267 4 Discharging
46328.66 81 3957943 -126648 267 4 Discharging
46338.75 81 3931278 -219116 267 4 Discharging
46348.82 81 3978964 -56610 267 4 Discharging
46358.90 81 3955218 -164947 267 4 Discharging
46368.99 81 3978770 -55694 267 4 Discharging
46379.07 81 3961058 -67749 267 4 Discharging
46389.15 81 3952688 -181884 267 4 Discharging
46399.26 81 3955218 -130462 267 4 Discharging
46409.34 81 3931473 -200500 267 4 Discharging
46419.41 81 3976045 -68969 267 4 Discharging
46429.52 81 3977991 -55389 266 4 Discharging
46439.59 81 3956192 -140533 267 4 Discharging
46449.68 81 3975071 -54931 267 4 Discharging
46459.75 81 3949185 -188293 267 4 Discharging
46469.84 81 3976045 -55236 267 4 Discharging
46479.92 81 3931473 -258636 267 4 Discharging
46489.99 81 3978186 -56152 266 4 Discharging
46500.08 81 3965534 -133819 267 4 Discharging
46510.16 81 3977407 -55236 267 4 Discharging
46520.23 81 3974488 -55847 266 4 Discharging
46530.33 81 3959500 -233154 267 4 Discharging
46540.41 81 3970595 -137024 266 4 Discharging
46550.49 81 3972736 -55694 267 4 Discharging
46560.58 81 3929137 -174865 267 4 Discharging
46570.67 80 3976434 -55542 267 4 Discharging
46580.74 80 3972347 -60272 266 4 Discharging
46590.83 80 3975461 -55236 267 4 Discharging
46600.92 80 3960668 -89111 267 4 Discharging
46611.00 80 3976239 -54473 266 4 Discharging
46621.08 80 3972541 -77056 266 4 Discharging
46631.18 80 3960863 -81176 266 4 Discharging
46641.26 80 3944124 -158844 267 4 Discharging
46651.33 80 3974098 -54779 267 4 Discharging
46661.41 80 3971957 -57067 266 4 Discharging
46671.50 80 3956970 -131073 267 4 Discharging
46681.57 80 3951715 -139465 266 4 Discharging
46691.66 80 3954051 -134735 267 4 Discharging
46701.75 80 3952104 -194091 267 4 Discharging
46711.82 80 3938090 -188751 267 4 Discharging
46721.90 80 3975266 -54626 266 4 Discharging
46731.99 80 3966507 -255890 267 4 Discharging
46742.08 80 3974488 -55847 266 4 Discharging
46752.15 80 3940037 -205841 266 4 Discharging
46762.22 80 3973709 -81176 266 4 Discharging
46772.33 80 3947044 -130615 266 4 Discharging
46782.41 80 3954440 -133056 267 4 Discharging
46792.48 80 3973514 -55389 266 4 Discharging
46802.56 80 3973125 -54931 266 4 Discharging
46812.64 80 3956192 -119628 266 4 Discharging
46822.72 80 3962809 -58441 266 4 Discharging
46832.83 80 3951520 -191803 266 4 Discharging
46842.92 80 3973125 -55389 267 4 Discharging
46853.01 80 3947628 -132751 267 4 Discharging
46863.08 80 3953856 -128479 267 4 Discharging
46873.15 80 3958138 -105285 266 4 Discharging
46883.23 80 3959695 -121002 266 4 Discharging
46893.32 80 3949769 -168457 267 4 Discharging
46903.40 80 3963393 -150299 266 4 Discharging
46913.49 80 3972347 -55389 266 4 Discharging
46923.58 80 3948212 -137634 267 4 Discharging
46933.67 80 3972930 -207977 267 4 Discharging
46943.74 80 3971179 -55084 266 4 Discharging
46953.82 80 3971568 -55236 266 4 Discharging
46963.92 80 3968065 -79345 266 4 Discharging
46973.99 80 3953856 -152435 267 4 Discharging
46984.07 80 3942178 -130310 267 4 Discharging
46994.17 80 3944513 -126190 266 4 Discharging
47004.24 80 3944513 -205383 267 4 Discharging
47014.32 80 3960279 -158386 266 4 Discharging
47024.39 80 3971179 -56304 267 4 Discharging
47034.49 80 3969622 -55999 266 4 Discharging
47044.57 80 3944903 -276642 266 4 Discharging
47054.64 80 3953467 -155181 266 4 Discharging
47064.73 80 3969622 -55084 267 4 Discharging
47074.82 80 3939258 -199432 267 4 Discharging
47084.90 80 3971179 -55389 266 4 Discharging
47094.99 80 3961058 -120544 266 4 Discharging
47105.08 80 3969816 -55694 266 4 Discharging
47115.16 80 3929721 -241241 266 4 Discharging
47125.26 80 3969232 -64544 266 4 Discharging
47135.35 80 3960474 -141601 266 4 Discharging
47145.43 80 3946460 -127868 266 4 Discharging
47155.52 80 3935755 -225830 267 4 Discharging
47165.60 80 3971179 -54931 266 4 Discharging
47175.69 80 3969427 -55236 266 4 Discharging
47185.76 80 3950547 -137176 266 4 Discharging
47195.85 80 3941983 -157470 266 4 Discharging
47205.93 80 3970011 -59356 266 4 Discharging
47216.01 80 3944903 -136566 266 4 Discharging
47226.08 80 3961447 -95672 267 4 Discharging
47236.17 80 3969232 -55236 266 4 Discharging
47246.25 80 3955802 -115509 266 4 Discharging
47256.33 80 3967870 -55694 266 4 Discharging
47266.43 80 3945876 -137634 266 4 Discharging
47276.51 80 3949379 -170745 266 4 Discharging
47286.59 80 3962420 -63781 266 4 Discharging
47296.67 80 3946071 -140838 266 4 Discharging
47306.75 80 3963199 -55694 266 4 Discharging
47316.83 80 3945876 -133056 266 4 Discharging
47326.98 80 3941983 -170745 266 4 Discharging
47337.07 80 3926607 -241699 266 4 Discharging
47347.15 80 3944124 -140228 266 4 Discharging
47357.23 80 3911425 -218048 266 4 Discharging
47367.31 80 3967286 -56915 266 4 Discharging
47377.41 80 3965924 -79650 266 4 Discharging
47387.50 80 3963977 -62866 266 4 Discharging
47397.59 80 3966507 -55847 266 4 Discharging
47407.67 80 3966702 -55236 266 4 Discharging
47417.75 80 3963977 -55847 266 4 Discharging
47427.83 80 3945292 -152893 266 4 Discharging
47437.91 80 3900720 -293274 266 4 Discharging
47447.99 80 3950353 -202331 266 4 Discharging
47458.07 80 3966313 -55542 266 4 Discharging
47468.18 80 3965340 -57983 266 4 Discharging
47478.25 80 3945876 -136413 266 4 Discharging
47488.34 80 3963393 -56762 266 4 Discharging
47498.43 80 3963393 -55389 266 4 Discharging
47508.52 80 3941010 -166778 266 4 Discharging
47518.60 80 3916680 -213165 266 4 Discharging
47528.68 80 3964756 -55389 266 4 Discharging
47538.76 80 3956386 -101471 266 4 Discharging
47548.84 80 3943540 -136413 266 4 Discharging
47558.93 80 3930889 -177765 266 4 Discharging
47569.02 80 3958917 -66375 266 4 Discharging
47579.09 80 3934198 -175628 266 4 Discharging
47589.17 80 3943930 -126037 266 4 Discharging
47599.26 80 3924271 -198822 266 4 Discharging
47609.34 80 3925634 -173339 267 4 Discharging
47619.41 80 3939648 -199127 266 4 Discharging
47629.50 80 3961252 -55542 266 4 Discharging
47639.60 80 3960863 -55694 266 4 Discharging
47649.68 79 3958333 -242157 267 4 Discharging
47659.74 79 3937507 -140228 266 4 Discharging
47669.81 79 3940426 -134735 266 4 Discharging
47679.88 79 3946460 -111694 267 4 Discharging
47689.96 79 3951715 -110778 266 4 Discharging
47700.03 79 3942956 -156555 266 4 Discharging
47710.12 79 3961836 -55542 266 4 Discharging
47720.20 79 3934976 -130920 266 4 Discharging
47730.28 79 3939064 -118866 266 4 Discharging
47740.36 79 3938090 -138244 267 4 Discharging
47750.44 79 3947044 -103454 266 4 Discharging
47760.51 79 3961836 -55236 266 4 Discharging
47770.62 79 3961252 -55389 266 4 Discharging
47780.70 79 3956776 -56152 266 4 Discharging
47790.78 79 3959111 -60272 267 4 Discharging
47800.86 79 3955024 -108032 266 4 Discharging
47810.94 79 3948406 -138397 266 4 Discharging
47821.02 79 3929137 -164184 266 4 Discharging
47831.11 79 3928553 -223541 266 4 Discharging
47841.19 79 3959111 -63476 266 4 Discharging
47851.28 79 3945681 -111694 267 4 Discharging
47861.36 79 3959890 -56152 266 4 Discharging
47871.44 79 3959111 -55999 267 4 Discharging
47881.52 79 3957554 -57525 266 4 Discharging
47891.60 79 3940231 -155487 267 4 Discharging
47901.69 79 3922714 -233764 266 4 Discharging
47911.77 79 3951326 -136871 266 4 Discharging
47921.85 79 3905197 -203399 266 4 Discharging
47931.92 79 3957554 -55847 267 4 Discharging
