# uptime_s cap_pct v_uV cur_uA temp_dC bl_power status
28539.34 99 4233744 -156555 272 4 Discharging
28549.43 99 4231798 -172271 272 4 Discharging
28559.50 99 4263329 -56304 271 4 Discharging
28569.57 99 4257879 -138549 272 4 Discharging
28579.64 99 4262745 -53253 272 4 Discharging
28589.73 99 4252429 -114135 271 4 Discharging
28599.81 99 4261382 -70343 272 4 Discharging
28609.88 99 4248536 -105896 272 4 Discharging
28619.96 99 4221871 -198516 272 4 Discharging
28630.04 99 4228100 -205841 272 4 Discharging
28640.11 99 4250094 -98266 272 4 Discharging
28650.19 99 4261577 -53710 271 4 Discharging
28660.27 99 4260604 -102539 272 4 Discharging
28670.35 99 4260799 -95062 271 4 Discharging
28680.42 99 4241919 -105896 272 4 Discharging
28690.49 99 4230046 -155181 272 4 Discharging
28700.56 99 4256322 -53558 272 4 Discharging
28710.64 99 4255738 -133056 271 4 Discharging
28720.73 99 4252429 -96740 272 4 Discharging
28730.80 99 4254570 -53558 271 4 Discharging
28740.87 99 4256711 -54016 272 4 Discharging
28750.95 99 4249120 -55542 271 4 Discharging
28761.02 98 4213891 -185089 272 4 Discharging
28771.09 98 4209998 -239105 272 4 Discharging
28781.16 98 4214670 -210724 271 4 Discharging
28791.24 98 4229851 -150756 271 4 Discharging
28801.30 98 4224207 -166473 272 4 Discharging
28811.37 98 4225764 -178222 272 4 Discharging
28821.46 98 4252624 -53405 271 4 Discharging
28831.53 98 4207079 -253906 272 4 Discharging
28841.60 98 4221482 -181121 272 4 Discharging
28851.67 98 4223623 -202942 271 4 Discharging
28861.74 98 4255349 -87890 271 4 Discharging
28871.80 98 4246006 -97961 271 4 Discharging
28881.88 98 4255933 -65002 271 4 Discharging
28891.97 98 4251456 -53710 271 4 Discharging
28902.03 98 4237831 -70648 271 4 Discharging
28912.09 98 4222066 -242614 272 4 Discharging
28922.16 98 4231408 -146637 271 4 Discharging
28932.23 98 4253986 -53710 272 4 Discharging
28942.30 98 4253402 -54626 271 4 Discharging
28952.38 98 4252818 -60272 271 4 Discharging
28962.46 98 4238999 -101318 271 4 Discharging
28972.53 98 4243087 -54473 271 4 Discharging
28982.61 98 4214280 -164642 272 4 Discharging
28992.68 98 4209998 -329437 272 4 Discharging
29002.75 98 4251845 -52185 271 4 Discharging
29012.83 98 4251261 -53253 271 4 Discharging
29022.90 98 4228878 -141296 272 4 Discharging
29032.97 98 4244838 -81481 271 4 Discharging
29043.04 98 4235496 -133209 271 4 Discharging
29053.12 98 4239972 -73394 271 4 Discharging
29063.33 98 4217978 -150299 272 4 Discharging
29073.39 98 4204743 -196838 271 4 Discharging
29083.46 98 4249704 -141449 271 4 Discharging
29093.56 98 4227321 -134124 272 4 Discharging
29103.63 98 4248731 -52948 271 4 Discharging
29113.69 98 4245033 -63629 272 4 Discharging
29123.76 98 4245033 -53253 271 4 Discharging
29133.99 98 4212334 -148010 271 4 Discharging
29144.06 98 4242892 -53863 271 4 Discharging
29154.14 98 4194622 -244903 271 4 Discharging
29164.21 98 4232965 -66375 271 4 Discharging
29174.28 98 4224791 -146484 271 4 Discharging
29184.35 98 4246201 -53558 271 4 Discharging
29194.43 98 4224596 -158691 271 4 Discharging
29204.50 98 4232576 -163269 272 4 Discharging
29214.58 98 4212529 -175323 271 4 Discharging
29224.66 98 4215643 -182037 272 4 Discharging
29234.73 98 4241919 -62561 271 4 Discharging
29244.79 98 4238610 -81939 271 4 Discharging
29254.89 98 4243281 -57678 271 4 Discharging
29264.96 98 4221287 -135040 271 4 Discharging
29275.05 98 4240751 -62561 271 4 Discharging
29285.12 98 4191119 -227813 271 4 Discharging
29295.20 98 4206106 -164642 271 4 Discharging
29305.27 98 4244060 -53863 271 4 Discharging
29315.34 98 4241140 -63324 271 4 Discharging
29325.44 98 4243281 -54626 271 4 Discharging
29335.52 98 4201045 -223999 271 4 Discharging
29345.59 98 4242892 -54321 271 4 Discharging
29355.67 98 4223818 -81634 271 4 Discharging
29365.73 98 4186253 -282440 271 4 Discharging
29375.81 98 4231798 -104827 271 4 Discharging
29385.88 98 4209609 -169830 271 4 Discharging
29395.96 98 4193454 -331878 272 4 Discharging
29406.01 98 4200266 -204315 271 4 Discharging
29416.08 98 4240362 -52795 271 4 Discharging
29426.16 98 4211166 -185547 271 4 Discharging
29436.23 98 4228878 -105133 271 4 Discharging
29446.29 98 4219146 -132446 271 4 Discharging
29456.36 98 4240946 -53558 271 4 Discharging
29466.46 98 4236858 -52795 271 4 Discharging
29476.53 98 4217005 -196838 271 4 Discharging
29486.60 98 4236858 -54473 271 4 Discharging
29496.67 98 4211166 -156250 271 4 Discharging
29506.74 98 4205716 -200653 271 4 Discharging
29516.82 98 4239972 -66375 271 4 Discharging
29526.90 98 4230435 -119018 271 4 Discharging
29536.97 98 4235690 -64086 271 4 Discharging
29547.04 98 4208830 -243683 271 4 Discharging
29557.13 98 4222650 -125122 271 4 Discharging
29567.19 98 4190145 -214996 271 4 Discharging
29577.24 98 4213307 -175323 271 4 Discharging
29587.29 98 4238610 -54016 271 4 Discharging
29597.37 98 4229851 -82550 271 4 Discharging
29607.43 98 4234523 -59814 271 4 Discharging
29617.50 98 4213113 -227203 271 4 Discharging
29627.59 98 4232965 -52948 271 4 Discharging
29637.65 98 4202407 -162353 271 4 Discharging
29647.72 98 4197542 -177002 271 4 Discharging
29657.80 98 4222844 -142974 271 4 Discharging
29667.88 98 4232965 -62713 271 4 Discharging
29677.96 98 4206495 -136108 271 4 Discharging
29688.06 98 4217005 -160217 271 4 Discharging
29698.13 98 4234328 -53558 271 4 Discharging
29708.20 98 4198125 -196380 271 4 Discharging
29718.29 98 4202213 -157928 271 4 Discharging
29728.36 98 4199683 -200958 271 4 Discharging
29738.42 98 4211750 -149536 271 4 Discharging
29748.49 98 4227905 -52337 271 4 Discharging
29758.58 97 4206689 -210724 271 4 Discharging
29768.66 97 4217005 -131073 271 4 Discharging
29778.74 97 4230824 -63171 271 4 Discharging
29788.83 97 4226542 -54168 271 4 Discharging
29798.90 97 4198320 -171508 271 4 Discharging
29808.98 97 4229657 -63171 271 4 Discharging
29819.05 97 4202602 -181274 271 4 Discharging
29829.12 97 4232965 -85601 271 4 Discharging
29839.20 97 4234328 -53253 271 4 Discharging
29849.28 97 4218368 -157623 271 4 Discharging
29859.36 97 4223818 -54779 271 4 Discharging
29869.42 97 4203965 -147705 271 4 Discharging
29879.48 97 4226737 -56915 271 4 Discharging
29889.58 97 4223234 -52795 271 4 Discharging
29899.66 97 4211555 -157470 271 4 Discharging
29909.72 97 4227321 -53558 271 4 Discharging
29919.79 97 4208441 -115356 271 4 Discharging
29929.86 97 4209220 -164184 271 4 Discharging
29939.94 97 4196763 -196838 271 4 Discharging
29950.01 97 4229462 -52795 271 4 Discharging
29960.10 97 4195790 -117340 271 4 Discharging
29970.18 97 4198515 -197143 271 4 Discharging
29980.25 97 4231214 -56915 271 4 Discharging
29990.33 97 4213113 -106964 271 4 Discharging
30000.39 97 4224207 -102539 271 4 Discharging
30010.46 97 4187031 -206604 271 4 Discharging
30020.55 97 4220119 -67291 271 4 Discharging
30030.62 97 4205522 -163879 271 4 Discharging
30040.69 97 4211750 -123748 271 4 Discharging
30050.77 97 4220703 -73242 271 4 Discharging
30060.84 97 4226153 -52948 271 4 Discharging
30070.91 97 4223428 -54779 271 4 Discharging
30081.00 97 4194622 -154876 271 4 Discharging
30091.07 97 4174769 -232849 271 4 Discharging
30101.14 97 4226542 -52490 271 4 Discharging
30111.21 97 4202991 -181732 271 4 Discharging
30121.31 97 4224596 -124206 271 4 Discharging
30131.39 97 4227321 -53710 271 4 Discharging
30141.45 97 4217589 -81939 271 4 Discharging
30151.56 97 4202602 -176239 271 4 Discharging
30161.64 97 4176910 -213470 271 4 Discharging
30171.70 97 4225764 -53710 271 4 Discharging
30181.77 97 4205522 -103149 271 4 Discharging
30191.83 97 4217005 -140686 271 4 Discharging
30201.90 97 4206300 -140075 271 4 Discharging
30211.98 97 4210582 -98724 271 4 Discharging
30222.10 97 4201240 -59051 271 4 Discharging
30232.18 97 4172823 -240173 271 4 Discharging
30242.25 97 4222455 -53710 271 4 Discharging
30252.34 97 4219536 -53100 271 4 Discharging
30262.41 97 4210582 -102386 271 4 Discharging
30272.47 97 4221677 -64697 271 4 Discharging
30282.56 97 4199488 -145721 271 4 Discharging
30292.63 97 4188978 -196380 271 4 Discharging
30302.70 97 4192676 -200653 271 4 Discharging
30312.78 97 4209609 -116424 271 4 Discharging
30322.86 97 4209804 -100860 270 4 Discharging
30332.93 97 4195011 -156250 271 4 Discharging
30343.00 97 4219730 -62103 271 4 Discharging
30353.11 97 4188394 -157928 271 4 Discharging
30363.18 97 4212723 -65002 270 4 Discharging
30373.25 97 4185669 -236511 271 4 Discharging
30383.35 97 4220119 -54168 271 4 Discharging
