# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
128 56 4290 23 0 0 0x1 0 0 0 0x0 5 5 51 0x0 20 20 82 0x0 
130 101 4276 21 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
132 207 4244 20 0 0 0x1 0 0 0 0x0 3 3 57 0x1 16 16 50 0x0 
134 109 4273 26 0 0 0x1 0 0 0 0x0 7 7 75 0x0 8 8 18 0x0 
136 68 4277 27 0 0 0x1 0 0 0 0x0 6 6 80 0x0 11 11 37 0x0 
138 62 4284 8 0 0 0x1 0 0 0 0x0 3 3 38 0x0 19 19 79 0x0 
140 140 4267 18 0 0 0x1 0 0 0 0x0 7 7 92 0x0 20 20 86 0x0 
142 156 4263 30 0 0 0x1 0 0 0 0x0 4 4 66 0x1 21 21 85 0x0 
144 65 4285 19 0 0 0x1 0 0 0 0x0 5 5 47 0x0 20 20 84 0x0 
146 56 4289 19 0 0 0x1 0 0 0 0x0 8 8 89 0x0 21 21 84 0x0 
148 153 4256 28 0 0 0x1 0 0 0 0x0 2 2 39 0x1 21 21 83 0x0 
150 301 4233 25 0 0 0x1 0 0 0 0x0 4 4 49 0x1 19 19 86 0x1 
152 52 4289 34 0 0 0x1 0 0 0 0x0 7 7 83 0x0 20 20 82 0x0 
154 72 4275 19 0 0 0x1 0 0 0 0x0 3 3 37 0x0 21 21 80 0x0 
156 96 4278 9 0 0 0x1 0 0 0 0x0 6 6 93 0x1 20 20 86 0x0 
158 257 4239 12 0 0 0x1 0 0 0 0x0 5 5 66 0x1 20 20 87 0x0 
160 76 4282 26 0 0 0x1 0 0 0 0x0 5 5 51 0x0 20 20 87 0x0 
162 53 4285 33 0 0 0x1 0 0 0 0x0 6 6 94 0x1 20 20 84 0x0 
164 187 4257 13 0 0 0x1 0 0 0 0x0 4 4 41 0x0 19 19 86 0x1 
166 97 4274 25 0 0 0x1 0 0 0 0x0 6 6 82 0x0 15 15 46 0x1 
168 260 4254 26 0 0 0x1 0 0 0 0x0 6 6 97 0x1 10 10 20 0x1 
170 56 4274 22 0 0 0x1 0 0 0 0x0 4 4 40 0x0 11 11 36 0x0 
172 52 4286 25 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 86 0x0 
174 169 4247 19 0 0 0x1 0 0 0 0x0 5 5 81 0x1 18 18 80 0x1 
176 53 4286 28 0 0 0x1 0 0 0 0x0 5 5 48 0x0 20 20 75 0x0 
178 109 4275 36 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 84 0x0 
180 151 4255 16 0 0 0x1 0 0 0 0x0 3 3 53 0x1 20 20 85 0x0 
182 222 4262 25 0 0 0x1 0 0 0 0x0 7 7 77 0x0 20 20 87 0x0 
184 62 4284 18 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 85 0x0 
186 175 4261 16 0 0 0x1 0 0 0 0x0 4 4 53 0x0 20 20 86 0x0 
188 52 4288 22 0 0 0x1 0 0 0 0x0 6 6 81 0x0 19 19 82 0x0 
190 150 4260 20 0 0 0x1 0 0 0 0x0 5 5 83 0x1 20 20 84 0x0 
192 90 4278 23 0 0 0x1 0 0 0 0x0 5 5 54 0x0 20 20 84 0x0 
194 105 4276 25 0 0 0x1 0 0 0 0x0 6 6 84 0x0 20 20 83 0x0 
196 158 4255 33 0 0 0x1 0 0 0 0x0 3 3 55 0x1 20 20 77 0x0 
198 105 4275 20 0 0 0x1 0 0 0 0x0 7 7 77 0x0 19 19 77 0x1 
200 117 4268 28 0 0 0x1 0 0 0 0x0 6 6 79 0x0 9 9 27 0x1 
202 110 4269 28 0 0 0x1 0 0 0 0x0 3 3 35 0x0 9 9 18 0x1 
204 120 4266 28 0 0 0x1 0 0 0 0x0 7 7 93 0x0 12 12 41 0x0 
206 94 4282 29 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 83 0x0 
208 81 4277 16 0 0 0x1 0 0 0 0x0 3 3 40 0x1 20 20 84 0x0 
210 146 4276 23 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 83 0x0 
212 151 4254 33 0 0 0x1 0 0 0 0x0 3 3 53 0x1 19 19 82 0x1 
214 145 4241 30 0 0 0x1 0 0 0 0x0 6 6 75 0x1 21 21 76 0x0 
216 82 4276 13 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 87 0x0 
218 53 4280 18 0 0 0x1 0 0 0 0x0 3 3 38 0x0 20 20 87 0x0 
220 62 4282 20 0 0 0x1 0 0 0 0x0 6 6 93 0x1 20 20 85 0x0 
222 191 4253 24 0 0 0x1 0 0 0 0x0 6 6 79 0x1 20 20 86 0x0 
224 67 4282 18 0 0 0x1 0 0 0 0x0 3 3 15 0x0 19 19 83 0x1 
226 73 4282 24 0 0 0x1 0 0 0 0x0 7 7 93 0x0 20 20 80 0x0 
228 152 4252 27 0 0 0x1 0 0 0 0x0 3 3 53 0x1 20 20 86 0x0 
230 57 4279 25 0 0 0x1 0 0 0 0x0 6 6 66 0x0 20 20 87 0x0 
232 140 4262 17 0 0 0x1 0 0 0 0x0 7 7 95 0x0 20 20 87 0x0 
234 102 4262 13 0 0 0x1 0 0 0 0x0 3 3 37 0x0 12 12 42 0x0 
236 105 4268 23 0 0 0x1 0 0 0 0x0 6 6 80 0x0 6 6 19 0x1 
238 53 4280 31 0 0 0x1 0 0 0 0x0 4 4 62 0x1 14 14 41 0x0 
240 52 4282 28 0 0 0x1 0 0 0 0x0 4 4 39 0x0 20 20 87 0x0 
242 204 4251 16 0 0 0x1 0 0 0 0x0 5 5 80 0x1 21 21 84 0x0 
244 192 4248 15 0 0 0x1 0 0 0 0x0 0 0 0 0x1 20 20 83 0x0 
246 63 4277 16 0 0 0x1 0 0 0 0x0 7 7 74 0x0 19 19 85 0x1 
248 52 4283 36 0 0 0x1 0 0 0 0x0 6 6 92 0x1 21 21 81 0x0 
250 106 4264 29 0 0 0x1 0 0 0 0x0 4 4 40 0x0 20 20 84 0x0 
252 75 4278 23 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 84 0x0 
254 179 4245 31 0 0 0x1 0 0 0 0x0 2 2 20 0x1 21 21 83 0x0 
256 183 4265 28 0 0 0x1 0 0 0 0x0 5 5 52 0x0 20 20 87 0x0 
258 67 4274 38 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 84 0x0 
260 216 4240 26 0 0 0x1 0 0 0 0x0 3 3 54 0x1 19 19 87 0x1 
262 62 4279 22 0 0 0x1 0 0 0 0x0 6 6 79 0x1 20 20 79 0x0 
264 54 4280 28 0 0 0x1 0 0 0 0x0 5 5 47 0x0 20 20 87 0x0 
266 81 4273 24 0 0 0x1 0 0 0 0x0 3 3 51 0x1 20 20 82 0x0 
268 94 4274 24 0 0 0x1 0 0 0 0x0 7 7 79 0x0 13 13 41 0x1 
270 226 4243 25 0 0 0x1 0 0 0 0x0 5 5 79 0x1 8 8 15 0x0 
272 52 4279 34 0 0 0x1 0 0 0 0x0 5 5 52 0x0 14 14 46 0x1 
274 106 4261 22 0 0 0x1 0 0 0 0x0 4 4 49 0x0 20 20 87 0x1 
276 186 4243 15 0 0 0x1 0 0 0 0x0 3 3 53 0x1 20 20 82 0x0 
278 118 4264 27 0 0 0x1 0 0 0 0x0 7 7 78 0x0 20 20 85 0x0 
280 65 4275 16 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 84 0x0 
282 180 4243 20 0 0 0x1 0 0 0 0x0 1 1 28 0x1 20 20 84 0x1 
284 227 4253 24 0 0 0x1 0 0 0 0x0 6 6 62 0x0 21 21 85 0x1 
286 149 4246 26 0 0 0x1 0 0 0 0x0 5 5 81 0x1 19 19 76 0x0 
288 109 4262 28 0 0 0x1 0 0 0 0x0 4 4 37 0x0 16 16 71 0x1 
290 112 4269 19 0 0 0x1 0 0 0 0x0 7 7 92 0x0 20 20 79 0x0 
292 176 4246 25 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 81 0x0 
294 53 4280 38 0 0 0x1 0 0 0 0x0 6 6 65 0x0 18 18 79 0x1 
296 102 4261 25 0 0 0x1 0 0 0 0x0 7 7 92 0x0 19 19 74 0x0 
298 57 4270 18 0 0 0x1 0 0 0 0x0 3 3 37 0x0 19 19 80 0x0 
300 56 4280 22 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 82 0x0 
302 327 4228 31 0 0 0x1 0 0 0 0x0 6 6 82 0x1 11 11 35 0x1 
304 129 4263 11 0 0 0x1 0 0 0 0x0 4 4 35 0x0 8 8 17 0x1 
306 53 4278 25 0 0 0x1 0 0 0 0x0 6 6 93 0x1 13 13 46 0x0 
308 161 4248 37 0 0 0x1 0 0 0 0x0 4 4 53 0x1 20 20 86 0x0 
310 81 4272 22 0 0 0x1 0 0 0 0x0 6 6 66 0x0 19 19 76 0x0 
312 54 4279 19 0 0 0x1 0 0 0 0x0 6 6 93 0x1 20 20 83 0x0 
314 53 4254 31 0 0 0x1 0 0 0 0x0 4 4 40 0x0 21 21 84 0x0 
316 179 4260 25 0 0 0x1 0 0 0 0x0 6 6 81 0x0 20 20 84 0x1 
318 53 4280 38 0 0 0x1 0 0 0 0x0 7 7 86 0x1 20 20 81 0x0 
320 63 4273 34 0 0 0x1 0 0 0 0x0 4 4 39 0x0 20 20 86 0x0 
322 98 4271 32 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 87 0x0 
324 179 4237 27 0 0 0x1 0 0 0 0x0 4 4 66 0x1 20 20 85 0x0 
326 63 4277 19 0 0 0x1 0 0 0 0x0 6 6 69 0x1 20 20 84 0x0 
328 52 4280 33 0 0 0x1 0 0 0 0x0 7 7 70 0x0 20 20 82 0x0 
330 71 4273 21 0 0 0x1 0 0 0 0x0 4 4 52 0x0 18 18 81 0x1 
332 114 4260 23 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 79 0x0 
334 62 4275 13 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 87 0x0 
336 98 4266 23 0 0 0x1 0 0 0 0x0 4 4 53 0x0 8 8 21 0x1 
338 111 4262 33 0 0 0x1 0 0 0 0x0 6 6 81 0x0 9 9 19 0x1 
340 199 4236 24 0 0 0x1 0 0 0 0x0 5 5 60 0x1 16 16 55 0x0 
342 52 4277 15 0 0 0x1 0 0 0 0x0 6 6 67 0x0 19 19 81 0x0 
344 52 4280 32 0 0 0x1 0 0 0 0x0 6 6 80 0x0 18 18 78 0x0 
346 53 4273 29 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 85 0x0 
348 191 4247 36 0 0 0x1 0 0 0 0x0 7 7 81 0x0 20 20 87 0x0 
350 58 4274 14 0 0 0x1 0 0 0 0x0 7 7 73 0x0 21 21 86 0x0 
352 54 4267 17 0 0 0x1 0 0 0 0x0 1 1 26 0x1 19 19 80 0x0 
354 52 4279 36 0 0 0x1 0 0 0 0x0 7 7 80 0x0 21 21 84 0x0 
356 194 4246 31 0 0 0x1 0 0 0 0x0 4 4 67 0x1 19 19 79 0x0 
358 53 4280 27 0 0 0x1 0 0 0 0x0 5 5 66 0x1 20 20 86 0x0 
360 121 4259 14 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 86 0x0 
362 147 4246 14 0 0 0x1 0 0 0 0x0 3 3 42 0x0 20 20 87 0x0 
364 82 4272 17 0 0 0x1 0 0 0 0x0 6 6 94 0x1 20 20 87 0x0 
366 87 4268 21 0 0 0x1 0 0 0 0x0 7 7 83 0x0 19 19 81 0x0 
368 109 4255 24 0 0 0x1 0 0 0 0x0 3 3 26 0x0 20 20 83 0x0 
370 104 4261 22 0 0 0x1 0 0 0 0x0 6 6 92 0x1 11 11 32 0x1 
372 247 4229 21 0 0 0x1 0 0 0 0x0 5 5 66 0x1 8 8 16 0x0 
374 55 4275 26 0 0 0x1 0 0 0 0x0 5 5 55 0x0 15 15 59 0x1 
376 53 4279 35 0 0 0x1 0 0 0 0x0 6 6 98 0x1 20 20 84 0x1 
378 202 4236 12 0 0 0x1 0 0 0 0x0 4 4 41 0x0 20 20 81 0x0 
# window_from=2  # samples before this mark saw a lit panel
