# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
260 55 4171 1 97 89 373 1420800 1228800 1
262 63 4168 1 101 68 497 1420800 633600 1
264 240 4130 2 90 95 511 614400 633600 24
266 170 4146 1 103 58 297 1228800 633600 3
268 148 4149 2 101 94 581 1420800 1228800 12
270 53 4166 1 102 68 322 1228800 633600 1
272 236 4131 3 95 164 651 1420800 1228800 6
274 106 4154 2 94 77 598 614400 1228800 1
276 107 4117 1 114 53 273 1420800 1228800 0
278 103 4152 2 102 99 552 1420800 1228800 2
280 130 4152 1 100 66 350 844800 1228800 6
282 54 4169 2 98 103 480 844800 1228800 5
284 102 4167 1 102 58 366 614400 1228800 1
286 55 4169 1 99 82 459 1420800 1228800 5
288 69 4169 1 103 68 383 1420800 1228800 1
290 192 4126 1 97 67 369 1228800 1228800 0
292 54 4168 2 103 108 688 1420800 1228800 2
294 53 4166 1 102 49 246 1228800 1228800 4
296 84 4161 1 96 75 477 1420800 1228800 4
298 54 4168 1 100 91 458 614400 1228800 0
300 160 4144 1 108 48 288 1420800 633600 1
302 54 4168 2 96 91 659 1420800 633600 0
304 57 4159 1 110 51 361 1804800 1804800 1
306 127 4147 2 94 108 471 1420800 1228800 1
308 107 4154 1 89 78 391 1420800 1228800 3
310 176 4127 1 111 60 389 614400 1228800 5
312 148 4151 1 102 59 489 844800 1228800 1
314 83 4161 1 102 66 444 1420800 1228800 5
316 154 4139 2 97 114 601 1420800 1228800 1
318 97 4162 1 101 50 327 614400 633600 0
320 54 4169 1 96 51 428 1420800 1228800 1
322 92 4165 1 110 69 390 614400 1228800 8
324 64 4166 1 93 54 326 614400 844800 6
326 205 4128 2 108 98 660 1420800 1228800 1
328 108 4151 1 102 67 402 1420800 1228800 4
330 63 4163 1 92 86 425 1420800 1228800 0
332 63 4164 1 102 67 451 1228800 1228800 1
334 194 4142 1 96 59 410 844800 633600 20
336 155 4139 1 98 83 497 1420800 1228800 6
338 134 4138 1 103 58 398 1420800 1228800 5
340 109 4153 2 102 72 502 1420800 633600 1
342 54 4163 1 97 47 279 1420800 633600 2
344 53 4168 1 110 75 457 1420800 633600 2
346 186 4136 1 100 54 405 614400 1228800 2
348 95 4166 1 97 73 340 1420800 1228800 1
350 108 4156 2 100 99 672 1228800 1228800 7
352 102 4156 1 96 68 338 844800 1228800 5
354 53 4168 1 97 84 516 1420800 1228800 1
356 265 4124 1 105 57 457 844800 1420800 5
358 171 4149 1 96 88 462 614400 1228800 0
# window_from=2  # samples before this mark saw a lit panel
