# iso_time uptime_s capacity status charge_type vbat_uV ibat_uA temp_dC usb_online usb_imax_uA usb_vbus_uV usb_real_type charge_done chgr_status_reg
2026-08-11T21:38:01Z 4047 100 Discharging N/A 4350915 -61645 272 0 0 5184 Unknown 0 47
2026-08-11T21:39:01Z 4108 100 Discharging N/A 4318995 -154419 272 0 0 2064 Unknown 0 47
2026-08-11T21:40:01Z 4168 100 Discharging N/A 4302840 -15258 272 0 0 1024 Unknown 0 47
2026-08-11T21:41:02Z 4228 100 Discharging N/A 4315880 -35247 271 0 0 3104 Unknown 0 47
2026-08-11T21:42:02Z 4288 100 Discharging N/A 4328532 -87585 271 0 0 2064 Unknown 0 47
2026-08-11T21:43:02Z 4349 100 Discharging N/A 4315102 -141296 271 0 0 3104 Unknown 0 47
2026-08-11T21:44:02Z 4409 100 Discharging N/A 4321136 -57067 271 0 0 1024 Unknown 0 47
2026-08-11T21:45:03Z 4469 100 Discharging N/A 4348190 -40283 270 0 0 2064 Unknown 0 47
2026-08-11T21:46:03Z 4530 100 Discharging N/A 4334760 -102386 270 0 0 4144 Unknown 0 47
2026-08-11T21:47:03Z 4590 100 Discharging N/A 4343324 -68969 270 0 0 0 Unknown 0 47
2026-08-11T21:48:04Z 4650 100 Discharging N/A 4326975 -130157 269 0 0 6224 Unknown 0 47
2026-08-11T21:49:04Z 4710 100 Discharging N/A 4317243 -54016 269 0 0 2064 Unknown 0 47
2026-08-11T21:50:04Z 4771 100 Discharging N/A 4317437 -96435 268 0 0 3104 Unknown 0 47
2026-08-11T21:51:05Z 4831 100 Discharging N/A 4341962 -68054 268 0 0 4144 Unknown 0 47
2026-08-11T21:52:05Z 4891 100 Discharging N/A 4309457 -25787 267 0 0 4144 Unknown 0 47
2026-08-11T21:53:05Z 4952 100 Discharging N/A 4327364 -49133 267 0 0 3104 Unknown 0 47
2026-08-11T21:54:06Z 5012 100 Discharging N/A 4328532 -100860 267 0 0 2064 Unknown 0 47
2026-08-11T21:55:06Z 5072 100 Discharging N/A 4317437 -19226 266 0 0 3104 Unknown 0 47
2026-08-11T21:56:06Z 5133 100 Discharging N/A 4343130 -54168 266 0 0 4144 Unknown 0 47
2026-08-11T21:57:06Z 5193 100 Discharging N/A 4318800 -52795 266 0 0 4144 Unknown 0 47
2026-08-11T21:58:07Z 5253 100 Discharging N/A 4328726 -105743 265 0 0 3104 Unknown 0 47
2026-08-11T21:59:07Z 5313 100 Discharging N/A 4330283 -79650 264 0 0 3104 Unknown 0 47
2026-08-11T22:00:07Z 5374 100 Discharging N/A 4312572 -77514 264 0 0 6224 Unknown 0 47
2026-08-11T22:01:08Z 5434 100 Discharging N/A 4318800 -52948 264 0 0 4144 Unknown 0 47
2026-08-11T22:02:08Z 5494 100 Discharging N/A 4309068 -52642 263 0 0 6224 Unknown 0 47
2026-08-11T22:03:08Z 5555 100 Discharging N/A 4342546 -46081 263 0 0 2064 Unknown 0 47
2026-08-11T22:04:09Z 5615 100 Discharging N/A 4339431 -51727 263 0 0 1024 Unknown 0 47
2026-08-11T22:05:09Z 5675 100 Discharging N/A 4311014 -144348 263 0 0 1024 Unknown 0 47
2026-08-11T22:06:09Z 5736 100 Discharging N/A 4333982 -52948 262 0 0 3104 Unknown 0 47
2026-08-11T22:07:09Z 5796 100 Discharging N/A 4309068 -138244 262 0 0 2064 Unknown 0 47
2026-08-11T22:08:10Z 5856 100 Discharging N/A 4341572 -47912 262 0 0 6224 Unknown 0 47
2026-08-11T22:09:10Z 5916 100 Discharging N/A 4308873 -96283 262 0 0 2064 Unknown 0 47
2026-08-11T22:10:10Z 5977 100 Discharging N/A 4339431 -44555 261 0 0 2064 Unknown 0 47
2026-08-11T22:11:11Z 6037 100 Discharging N/A 4321525 -121307 261 0 0 4144 Unknown 0 47
2026-08-11T22:12:11Z 6097 99 Discharging N/A 4324055 -91400 261 0 0 2064 Unknown 0 47
2026-08-11T22:13:11Z 6158 99 Discharging N/A 4309457 -98877 260 0 0 1024 Unknown 0 47
2026-08-11T22:14:11Z 6218 99 Discharging N/A 4307316 -135040 260 0 0 3104 Unknown 0 47
2026-08-11T22:15:12Z 6278 99 Discharging N/A 4325418 -90942 260 0 0 3104 Unknown 0 47
2026-08-11T22:16:12Z 6338 99 Discharging N/A 4318021 -42419 260 0 0 4144 Unknown 0 47
2026-08-11T22:17:12Z 6399 99 Discharging N/A 4317048 -116577 260 0 0 0 Unknown 0 47
2026-08-11T22:18:13Z 6459 99 Discharging N/A 4335928 -48980 259 0 0 2064 Unknown 0 47
2026-08-11T22:19:13Z 6519 99 Discharging N/A 4288437 -77209 259 0 0 0 Unknown 0 47
2026-08-11T22:20:13Z 6580 99 Discharging N/A 4338848 -57220 258 0 0 0 Unknown 0 47
2026-08-11T22:21:14Z 6640 99 Discharging N/A 4288047 -73089 258 0 0 1024 Unknown 0 47
2026-08-11T22:22:14Z 6700 99 Discharging N/A 4305759 -151977 258 0 0 3104 Unknown 0 47
2026-08-11T22:23:14Z 6761 99 Discharging N/A 4303229 -169220 257 0 0 5184 Unknown 0 47
2026-08-11T22:24:14Z 6821 99 Discharging N/A 4335539 -51574 257 0 0 3104 Unknown 0 47
2026-08-11T22:25:15Z 6881 99 Discharging N/A 4301283 -129699 257 0 0 3104 Unknown 0 47
2026-08-11T22:26:15Z 6941 99 Discharging N/A 4316270 -98877 256 0 0 3104 Unknown 0 47
