# iso_time uptime_s capacity status charge_type vbat_uV ibat_uA temp_dC usb_online usb_imax_uA usb_vbus_uV usb_real_type charge_done chgr_status_reg
2026-08-12T10:45:38Z 10759 88 Discharging N/A 4086404 -148010 301 0 0 0 - - 47
2026-08-12T10:46:38Z 10819 88 Discharging N/A 4088545 -146179 301 0 0 0 - - 47
2026-08-12T10:47:38Z 10879 88 Discharging N/A 4086404 -146484 301 0 0 0 - - 47
2026-08-12T10:48:38Z 10939 88 Discharging N/A 4037550 -198211 301 0 0 0 - - 47
2026-08-12T10:49:38Z 10999 88 Discharging N/A 4054873 -297546 302 0 0 0 - - 47
2026-08-12T10:50:38Z 11059 88 Discharging N/A 4020811 -417328 302 0 0 0 - - 47
2026-08-12T10:51:38Z 11119 88 Discharging N/A 4078618 -146331 301 0 0 0 - - 47
2026-08-12T10:52:38Z 11179 88 Discharging N/A 4058765 -195770 301 0 0 0 - - 47
2026-08-12T10:53:39Z 11239 88 Discharging N/A 4060517 -189056 301 0 0 0 - - 47
2026-08-12T10:54:39Z 11299 88 Discharging N/A 4054483 -200805 302 0 0 0 - - 47
2026-08-12T10:55:39Z 11359 87 Discharging N/A 4047476 -195007 301 0 0 0 - - 47
2026-08-12T10:56:39Z 11420 87 Discharging N/A 4034436 -327911 302 0 0 0 - - 47
2026-08-12T10:57:39Z 11480 87 Discharging N/A 4046114 -193786 302 0 0 0 - - 47
2026-08-12T10:58:39Z 11540 87 Discharging N/A 4056624 -188751 302 0 0 0 - - 47
2026-08-12T10:59:39Z 11600 87 Discharging N/A 4062853 -147552 302 0 0 0 - - 47
2026-08-12T11:00:39Z 11660 87 Discharging N/A 4049228 -193939 302 0 0 0 - - 47
2026-08-12T11:01:39Z 11720 87 Discharging N/A 4062658 -171203 302 0 0 0 - - 47
2026-08-12T11:02:39Z 11780 87 Discharging N/A 4032100 -417480 302 0 0 0 - - 47
2026-08-12T11:03:39Z 11840 87 Discharging N/A 4025482 -283203 302 0 0 0 - - 47
2026-08-12T11:04:39Z 11900 87 Discharging N/A 4058765 -147247 302 0 0 0 - - 47
2026-08-12T11:05:39Z 11960 86 Discharging N/A 4057014 -147857 302 0 0 0 - - 47
2026-08-12T11:06:39Z 12020 86 Discharging N/A 4053705 -158081 302 0 0 0 - - 47
2026-08-12T11:07:39Z 12080 86 Discharging N/A 4054678 -146484 302 0 0 0 - - 47
2026-08-12T11:08:39Z 12140 86 Discharging N/A 4040469 -224304 302 0 0 0 - - 47
2026-08-12T11:09:39Z 12200 86 Discharging N/A 4048255 -147705 303 0 0 0 - - 47
2026-08-12T11:10:39Z 12260 86 Discharging N/A 4048839 -146637 303 0 0 0 - - 47
2026-08-12T11:11:39Z 12320 86 Discharging N/A 4034630 -192718 304 0 0 0 - - 47
2026-08-12T11:12:40Z 12380 86 Discharging N/A 4043194 -146942 303 0 0 0 - - 47
2026-08-12T11:13:40Z 12440 86 Discharging N/A 4028986 -191803 304 0 0 0 - - 47
2026-08-12T11:14:40Z 12500 86 Discharging N/A 4040275 -151672 304 0 0 0 - - 47
2026-08-12T11:15:40Z 12560 86 Discharging N/A 3990059 -449219 304 0 0 0 - - 47
2026-08-12T11:16:40Z 12621 85 Discharging N/A 3989475 -362549 305 0 0 0 - - 47
2026-08-12T11:17:40Z 12681 85 Discharging N/A 4036771 -146026 304 0 0 0 - - 47
2026-08-12T11:18:40Z 12741 85 Discharging N/A 4034241 -146637 305 0 0 0 - - 47
2026-08-12T11:19:40Z 12801 85 Discharging N/A 4029181 -194702 304 0 0 0 - - 47
2026-08-12T11:20:40Z 12861 85 Discharging N/A 4034825 -146789 304 0 0 0 - - 47
2026-08-12T11:21:40Z 12921 85 Discharging N/A 4027234 -147094 304 0 0 0 - - 47
2026-08-12T11:22:40Z 12981 85 Discharging N/A 4032295 -147247 303 0 0 0 - - 47
2026-08-12T11:23:40Z 13041 85 Discharging N/A 3997844 -452118 303 0 0 0 - - 47
2026-08-12T11:24:40Z 13101 85 Discharging N/A 4026456 -147094 303 0 0 0 - - 47
2026-08-12T11:25:40Z 13161 85 Discharging N/A 4028986 -148773 303 0 0 0 - - 47
2026-08-12T11:26:40Z 13221 84 Discharging N/A 4025482 -147705 303 0 0 0 - - 47
2026-08-12T11:27:40Z 13281 84 Discharging N/A 4022563 -147247 303 0 0 0 - - 47
2026-08-12T11:28:40Z 13341 84 Discharging N/A 4024509 -147247 303 0 0 0 - - 47
2026-08-12T11:29:40Z 13401 84 Discharging N/A 3991421 -407409 303 0 0 0 - - 47
2026-08-12T11:30:40Z 13461 84 Discharging N/A 3971373 -373230 303 0 0 0 - - 47
2026-08-12T11:31:41Z 13521 84 Discharging N/A 4020811 -146942 303 0 0 0 - - 47
2026-08-12T11:32:41Z 13581 84 Discharging N/A 4019643 -146026 303 0 0 0 - - 47
2026-08-12T11:33:41Z 13641 84 Discharging N/A 4017697 -148315 302 0 0 0 - - 47
2026-08-12T11:34:41Z 13701 84 Discharging N/A 4014583 -167846 302 0 0 0 - - 47
2026-08-12T11:35:41Z 13761 84 Discharging N/A 4014777 -146331 302 0 0 0 - - 47
2026-08-12T11:36:41Z 13822 84 Discharging N/A 4012636 -149688 302 0 0 0 - - 47
2026-08-12T11:37:41Z 13882 83 Discharging N/A 4011079 -166015 302 0 0 0 - - 47
2026-08-12T11:38:41Z 13942 83 Discharging N/A 4011469 -147705 302 0 0 0 - - 47
2026-08-12T11:39:41Z 14002 83 Discharging N/A 4009522 -147094 302 0 0 0 - - 47
2026-08-12T11:40:41Z 14062 83 Discharging N/A 4006019 -153808 302 0 0 0 - - 47
2026-08-12T11:41:41Z 14122 83 Discharging N/A 3955218 -299682 302 0 0 0 - - 47
2026-08-12T11:42:41Z 14182 83 Discharging N/A 3965729 -383758 302 0 0 0 - - 47
2026-08-12T11:43:41Z 14242 83 Discharging N/A 3994146 -150299 302 0 0 0 - - 47
2026-08-12T11:44:41Z 14302 83 Discharging N/A 4003683 -147247 302 0 0 0 - - 47
2026-08-12T11:45:41Z 14362 83 Discharging N/A 4001931 -147247 302 0 0 0 - - 47
2026-08-12T11:46:41Z 14422 83 Discharging N/A 3991032 -163726 301 0 0 0 - - 47
2026-08-12T11:47:41Z 14482 83 Discharging N/A 3999206 -147552 302 0 0 0 - - 47
2026-08-12T11:48:41Z 14542 82 Discharging N/A 3999012 -147400 301 0 0 0 - - 47
2026-08-12T11:49:41Z 14602 82 Discharging N/A 3995314 -147094 301 0 0 0 - - 47
2026-08-12T11:50:41Z 14662 82 Discharging N/A 3994730 -147705 302 0 0 0 - - 47
2026-08-12T11:51:42Z 14722 82 Discharging N/A 3992978 -146484 302 0 0 0 - - 47
2026-08-12T11:52:42Z 14782 82 Discharging N/A 3990448 -156707 301 0 0 0 - - 47
2026-08-12T11:53:42Z 14842 82 Discharging N/A 3988891 -158386 301 0 0 0 - - 47
2026-08-12T11:54:42Z 14902 82 Discharging N/A 3948601 -269622 301 0 0 0 - - 47
2026-08-12T11:55:42Z 14963 82 Discharging N/A 3954635 -421753 301 0 0 0 - - 47
2026-08-12T11:56:42Z 15023 82 Discharging N/A 3947822 -345459 301 0 0 0 - - 47
2026-08-12T11:57:42Z 15083 82 Discharging N/A 3985582 -148315 301 0 0 0 - - 47
2026-08-12T11:58:42Z 15143 82 Discharging N/A 3983830 -166168 301 0 0 0 - - 47
2026-08-12T11:59:42Z 15203 81 Discharging N/A 3982078 -147857 301 0 0 0 - - 47
2026-08-12T12:00:42Z 15263 81 Discharging N/A 3981494 -147247 302 0 0 0 - - 47
2026-08-12T12:01:42Z 15323 81 Discharging N/A 3973320 -176239 302 0 0 0 - - 47
2026-08-12T12:02:42Z 15383 81 Discharging N/A 3978186 -148010 302 0 0 0 - - 47
2026-08-12T12:03:42Z 15443 81 Discharging N/A 3976629 -147400 302 0 0 0 - - 47
2026-08-12T12:04:42Z 15503 81 Discharging N/A 3976823 -147094 302 0 0 0 - - 47
2026-08-12T12:05:42Z 15563 81 Discharging N/A 3973709 -147094 302 0 0 0 - - 47
2026-08-12T12:06:42Z 15623 81 Discharging N/A 3960668 -213623 302 0 0 0 - - 47
2026-08-12T12:07:42Z 15683 81 Discharging N/A 3950742 -372467 302 0 0 0 - - 47
2026-08-12T12:08:42Z 15743 81 Discharging N/A 3941399 -403290 302 0 0 0 - - 47
2026-08-12T12:09:42Z 15803 81 Discharging N/A 3923687 -358276 302 0 0 0 - - 47
2026-08-12T12:10:43Z 15863 81 Discharging N/A 3968843 -146026 302 0 0 0 - - 47
2026-08-12T12:11:43Z 15923 80 Discharging N/A 3921157 -332031 302 0 0 0 - - 47
2026-08-12T12:12:43Z 15983 80 Discharging N/A 3965729 -147552 302 0 0 0 - - 47
2026-08-12T12:13:43Z 16043 80 Discharging N/A 3963783 -147552 302 0 0 0 - - 47
2026-08-12T12:14:43Z 16104 80 Discharging N/A 3962031 -148468 302 0 0 0 - - 47
2026-08-12T12:15:43Z 16164 80 Discharging N/A 3943151 -200195 302 0 0 0 - - 47
2026-08-12T12:16:43Z 16224 80 Discharging N/A 3957554 -147552 302 0 0 0 - - 47
2026-08-12T12:17:43Z 16284 80 Discharging N/A 3947822 -195617 302 0 0 0 - - 47
2026-08-12T12:18:43Z 16344 80 Discharging N/A 3934392 -204925 302 0 0 0 - - 47
2026-08-12T12:19:43Z 16404 80 Discharging N/A 3939648 -196991 302 0 0 0 - - 47
2026-08-12T12:20:43Z 16464 80 Discharging N/A 3924077 -454101 302 0 0 0 - - 47
2026-08-12T12:21:43Z 16524 80 Discharging N/A 3912009 -367126 302 0 0 0 - - 47
2026-08-12T12:22:43Z 16584 79 Discharging N/A 3952299 -147857 302 0 0 0 - - 47
2026-08-12T12:23:43Z 16644 79 Discharging N/A 3933224 -209045 302 0 0 0 - - 47
2026-08-12T12:24:43Z 16704 79 Discharging N/A 3941399 -192871 302 0 0 0 - - 47
2026-08-12T12:25:43Z 16764 79 Discharging N/A 3942762 -146789 302 0 0 0 - - 47
2026-08-12T12:26:43Z 16824 79 Discharging N/A 3946071 -148315 302 0 0 0 - - 47
2026-08-12T12:27:43Z 16884 79 Discharging N/A 3929137 -204925 302 0 0 0 - - 47
2026-08-12T12:28:43Z 16944 79 Discharging N/A 3944708 -147705 302 0 0 0 - - 47
2026-08-12T12:29:43Z 17004 79 Discharging N/A 3943151 -147857 302 0 0 0 - - 47
2026-08-12T12:30:44Z 17064 79 Discharging N/A 3941205 -148620 302 0 0 0 - - 47
2026-08-12T12:31:44Z 17124 79 Discharging N/A 3924271 -206451 302 0 0 0 - - 47
2026-08-12T12:32:44Z 17184 79 Discharging N/A 3938480 -147705 302 0 0 0 - - 47
2026-08-12T12:33:44Z 17244 78 Discharging N/A 3937117 -147400 302 0 0 0 - - 47
2026-08-12T12:34:44Z 17305 78 Discharging N/A 3907532 -333404 302 0 0 0 - - 47
