# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores smd_irq_total_per_s modem_irq_per_s
2 205 3865 41 0 0 0x1 0 0 0 0x0 5 5 71 0x1 20 20 86 0x0  98 0
4 109 3905 37 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 86 0x0  48 0
6 105 3896 27 0 0 0x1 0 0 0 0x0 4 4 68 0x1 21 21 87 0x0  50 0
8 145 3895 32 0 0 0x1 0 0 0 0x0 4 4 37 0x0 20 20 91 0x1  58 0
10 193 3878 35 0 0 0x1 0 0 0 0x0 7 7 94 0x0 21 21 87 0x0  8 0
12 58 3902 38 0 0 0x1 0 0 0 0x0 6 6 82 0x0 20 20 86 0x0  39 0
14 66 3894 37 0 0 0x1 0 0 0 0x0 3 3 55 0x1 20 20 86 0x0  21 0
16 179 3875 35 0 0 0x1 0 0 0 0x0 5 5 55 0x0 20 20 86 0x0  14 0
18 149 3875 34 0 0 0x1 0 0 0 0x0 4 4 66 0x1 21 21 85 0x0  41 0
20 138 3871 28 0 0 0x1 0 0 0 0x0 6 6 69 0x0 13 13 52 0x1  59 1
22 104 3884 38 0 0 0x1 0 0 0 0x0 6 6 86 0x0 8 8 19 0x1  22 0
24 148 3870 33 0 0 0x1 0 0 0 0x0 2 2 42 0x1 10 10 38 0x1  40 0
26 65 3891 31 0 0 0x1 0 0 0 0x0 4 4 42 0x0 21 21 88 0x0  43 0
28 246 3867 27 0 0 0x1 0 0 0 0x0 6 6 96 0x1 20 20 85 0x0  11 0
30 59 3895 26 0 0 0x1 0 0 0 0x0 4 4 40 0x0 20 20 86 0x0  28 0
32 58 3892 32 0 0 0x1 0 0 0 0x0 6 6 97 0x1 20 20 85 0x0  43 0
34 151 3870 34 0 0 0x1 0 0 0 0x0 4 4 57 0x1 21 21 84 0x0  29 0
36 84 3876 24 0 0 0x1 0 0 0 0x0 4 4 40 0x0 20 20 84 0x0  52 0
38 58 3894 29 0 0 0x1 0 0 0 0x0 7 7 97 0x0 20 20 88 0x1  47 0
40 111 3883 24 0 0 0x1 0 0 0 0x0 3 3 42 0x0 20 20 86 0x1  18 0
42 95 3883 39 0 0 0x1 0 0 0 0x0 7 7 100 0x0 21 21 86 0x0  18 0
44 152 3865 28 0 0 0x1 0 0 0 0x0 5 5 83 0x1 20 20 86 0x0  58 0
46 154 3855 31 0 0 0x1 0 0 0 0x0 3 3 22 0x0 21 21 85 0x0  11 0
48 103 3878 18 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 87 0x0  88 0
50 148 3869 27 0 0 0x1 0 0 0 0x0 3 3 56 0x1 20 20 86 0x0  21 0
