# t_s cur_mA v_mV busy_pct pc_res_pct wfi_per_s pc_per_s f0_kHz f4_kHz wlan_pps
260 106 4227 1 94 95 587 614400 1228800 6
262 64 4231 3 96 147 648 844800 1228800 3
264 60 4238 1 94 96 554 844800 633600 4
266 53 4239 2 106 73 434 614400 1228800 1
268 236 4211 1 100 90 438 1420800 1228800 5
270 105 4226 1 97 68 371 1420800 1228800 1
272 227 4189 1 106 81 415 1420800 844800 1
274 64 4231 4 92 230 1001 1420800 1228800 5
276 53 4238 1 102 58 432 1612800 1228800 4
278 223 4207 1 100 98 463 1420800 1228800 3
280 53 4235 1 98 76 380 1420800 844800 0
282 173 4200 2 91 130 546 1420800 633600 6
284 52 4237 2 102 85 566 614400 1228800 1
286 112 4227 1 99 49 279 844800 1228800 1
288 63 4230 4 100 194 827 844800 633600 4
290 66 4236 1 101 73 494 1420800 1228800 4
292 234 4182 1 103 79 425 1228800 1228800 4
294 63 4231 2 91 105 636 614400 633600 1
296 53 4231 1 104 48 377 844800 1228800 14
298 53 4232 1 103 63 409 614400 1228800 12
300 82 4226 3 92 141 684 844800 1228800 2
302 377 4167 3 98 174 665 1420800 1228800 1
304 107 4203 1 95 95 437 844800 1228800 5
306 53 4236 1 101 55 371 1228800 1036800 3
308 54 4226 1 103 61 421 614400 1228800 1
310 62 4233 1 97 82 389 844800 1228800 4
312 53 4232 2 93 98 597 1420800 1228800 1
314 221 4200 1 106 53 390 614400 844800 1
316 173 4205 4 98 186 766 1420800 1228800 2
318 167 4198 1 95 83 396 1420800 1228800 5
320 76 4230 3 94 146 658 1420800 633600 5
322 55 4230 4 93 174 804 1420800 1228800 2
324 53 4232 1 100 57 315 844800 1228800 4
326 54 4233 2 96 99 441 1228800 1228800 0
328 178 4198 1 109 58 279 1228800 1228800 1
330 53 4233 1 103 77 420 1804800 1420800 1
332 82 4217 3 95 148 704 614400 633600 6
334 188 4208 1 102 76 407 614400 844800 2
336 192 4199 1 102 83 446 1420800 1228800 20
338 181 4197 3 101 144 632 844800 1228800 2
340 180 4204 1 92 92 501 1420800 633600 2
342 171 4196 3 101 138 603 1420800 1228800 2
344 53 4224 1 97 69 486 844800 1228800 1
346 108 4220 4 93 199 902 1420800 633600 28
348 230 4184 1 99 66 366 614400 1228800 2
350 67 4231 1 104 63 486 844800 1228800 1
352 181 4200 1 103 54 306 1228800 633600 5
354 198 4181 2 95 78 535 614400 1420800 1
356 64 4226 1 100 69 399 1420800 1228800 1
358 94 4189 4 92 166 752 1228800 633600 1
360 127 4210 5 95 246 991 614400 1228800 9
