== ut-callwatch2 start 2026-09-05 04:58:30  (900s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:00:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:00:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
