== ut-callwatch2 start 2026-09-05 05:14:20  (600s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:15:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:15:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:15:56 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:15:57 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:15:58 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:15:59 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:16:20 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:16:21 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:16:22 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:16:24 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:16:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:17:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:18:00 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:18:01 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:18:02 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=dialing,
05:18:03 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
