# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
128 62 4269 21 0 0 0x1 0 0 0 0x0 4 4 53 0x0 19 19 85 0x1 
130 140 4262 18 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 81 0x0 
132 178 4248 29 0 0 0x1 0 0 0 0x0 5 5 80 0x1 21 21 85 0x0 
134 65 4275 23 0 0 0x1 0 0 0 0x0 4 4 51 0x1 20 20 86 0x0 
136 185 4251 27 0 0 0x1 0 0 0 0x0 7 7 79 0x0 20 20 86 0x0 
138 163 4245 20 0 0 0x1 0 0 0 0x0 3 3 53 0x1 20 20 85 0x0 
140 74 4272 11 0 0 0x1 0 0 0 0x0 7 7 80 0x0 19 19 85 0x1 
142 100 4265 35 0 0 0x1 0 0 0 0x0 6 6 79 0x0 21 21 81 0x0 
144 53 4272 10 0 0 0x1 0 0 0 0x0 3 3 38 0x0 20 20 83 0x0 
146 55 4275 27 0 0 0x1 0 0 0 0x0 7 7 93 0x0 20 20 86 0x0 
148 62 4273 24 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 85 0x0 
150 101 4258 21 0 0 0x1 0 0 0 0x0 4 4 40 0x0 11 11 40 0x1 
152 246 4230 22 0 0 0x1 0 0 0 0x0 7 7 93 0x0 9 9 15 0x0 
154 216 4221 24 0 0 0x1 0 0 0 0x0 3 3 56 0x1 15 15 45 0x0 
156 53 4273 27 0 0 0x1 0 0 0 0x0 6 6 71 0x0 20 20 84 0x0 
158 53 4276 27 0 0 0x1 0 0 0 0x0 7 7 98 0x0 20 20 82 0x0 
160 199 4236 22 0 0 0x1 0 0 0 0x0 1 1 28 0x1 21 21 82 0x0 
162 128 4256 26 0 0 0x1 0 0 0 0x0 6 6 51 0x0 19 19 81 0x0 
164 52 4275 31 0 0 0x1 0 0 0 0x0 6 6 95 0x1 21 21 84 0x0 
166 178 4251 29 0 0 0x1 0 0 0 0x0 4 4 36 0x0 20 20 84 0x0 
168 63 4271 25 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 87 0x0 
170 164 4240 20 0 0 0x1 0 0 0 0x0 4 4 66 0x1 19 19 80 0x0 
172 53 4271 28 0 0 0x1 0 0 0 0x0 4 4 35 0x0 20 20 84 0x1 
174 55 4266 34 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 77 0x0 
176 148 4244 23 0 0 0x1 0 0 0 0x0 2 2 40 0x1 20 20 84 0x0 
178 81 4265 23 0 0 0x1 0 0 0 0x0 4 4 32 0x0 20 20 84 0x0 
180 106 4255 10 0 0 0x1 0 0 0 0x0 6 6 92 0x1 19 19 79 0x0 
182 155 4240 15 0 0 0x1 0 0 0 0x0 1 1 0 0x0 20 20 87 0x0 
184 135 4245 30 0 0 0x1 0 0 0 0x0 7 7 79 0x0 11 11 35 0x1 
186 102 4257 26 0 0 0x1 0 0 0 0x0 6 6 96 0x1 8 8 16 0x0 
188 53 4268 20 0 0 0x1 0 0 0 0x0 4 4 41 0x0 12 12 49 0x0 
190 57 4270 28 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 85 0x0 
192 171 4239 28 0 0 0x1 0 0 0 0x0 4 4 70 0x1 20 20 86 0x0 
194 53 4273 38 0 0 0x1 0 0 0 0x0 6 6 68 0x0 18 18 78 0x1 
196 54 4272 29 0 0 0x1 0 0 0 0x0 6 6 81 0x0 20 20 79 0x0 
198 86 4260 10 0 0 0x1 0 0 0 0x0 2 2 29 0x1 20 20 87 0x0 
200 178 4237 24 0 0 0x1 0 0 0 0x0 6 6 62 0x1 20 20 86 0x0 
202 241 4234 35 0 0 0x1 0 0 0 0x0 5 5 65 0x1 21 21 79 0x0 
204 52 4272 28 0 0 0x1 0 0 0 0x0 5 5 51 0x0 19 19 86 0x1 
206 63 4268 16 0 0 0x1 0 0 0 0x0 6 6 75 0x0 20 20 84 0x1 
208 152 4236 27 0 0 0x1 0 0 0 0x0 1 1 13 0x0 20 20 83 0x0 
210 82 4263 24 0 0 0x1 0 0 0 0x0 7 7 86 0x0 20 20 86 0x0 
212 248 4236 21 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 87 0x0 
214 65 4270 22 0 0 0x1 0 0 0 0x0 3 3 39 0x0 21 21 86 0x0 
216 103 4266 29 0 0 0x1 0 0 0 0x0 7 7 98 0x0 20 20 84 0x0 
218 175 4234 33 0 0 0x1 0 0 0 0x0 2 2 38 0x1 10 10 33 0x1 
220 92 4252 22 0 0 0x1 0 0 0 0x0 5 5 52 0x0 8 8 21 0x1 
222 85 4261 15 0 0 0x1 0 0 0 0x0 7 7 93 0x0 14 14 48 0x0 
224 244 4223 26 0 0 0x1 0 0 0 0x0 2 2 42 0x1 20 20 86 0x0 
226 178 4245 33 0 0 0x1 0 0 0 0x0 6 6 56 0x0 20 20 84 0x0 
228 54 4267 29 0 0 0x1 0 0 0 0x0 5 5 61 0x0 19 19 86 0x1 
230 63 4263 24 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 78 0x0 
232 99 4263 19 0 0 0x1 0 0 0 0x0 6 6 79 0x0 21 21 84 0x0 
234 219 4234 27 0 0 0x1 0 0 0 0x0 5 5 80 0x1 20 20 86 0x0 
236 67 4262 21 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 87 0x0 
238 53 4268 41 0 0 0x1 0 0 0 0x0 4 4 49 0x0 20 20 85 0x0 
240 208 4234 25 0 0 0x1 0 0 0 0x0 3 3 55 0x1 19 19 82 0x0 
242 57 4269 23 0 0 0x1 0 0 0 0x0 7 7 75 0x0 20 20 87 0x0 
244 338 4220 25 0 0 0x1 0 0 0 0x0 6 6 79 0x0 21 21 86 0x0 
246 83 4261 19 0 0 0x1 0 0 0 0x0 4 4 52 0x0 19 19 80 0x0 
248 63 4266 29 0 0 0x1 0 0 0 0x0 4 4 47 0x0 20 20 87 0x0 
250 199 4225 24 0 0 0x1 0 0 0 0x0 5 5 81 0x1 18 18 76 0x1 
252 146 4246 30 0 0 0x1 0 0 0 0x0 5 5 52 0x0 10 10 30 0x1 
254 52 4267 28 0 0 0x1 0 0 0 0x0 6 6 84 0x0 8 8 21 0x1 
256 150 4239 34 0 0 0x1 0 0 0 0x0 3 3 55 0x1 15 15 54 0x0 
258 178 4243 32 0 0 0x1 0 0 0 0x0 5 5 52 0x0 20 20 87 0x0 
260 62 4266 15 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 86 0x0 
262 54 4264 30 0 0 0x1 0 0 0 0x0 3 3 50 0x1 21 21 85 0x0 
264 53 4271 20 0 0 0x1 0 0 0 0x0 7 7 81 0x0 19 19 82 0x0 
266 187 4239 21 0 0 0x1 0 0 0 0x0 5 5 71 0x1 20 20 85 0x0 
268 90 4257 17 0 0 0x1 0 0 0 0x0 3 3 26 0x1 20 20 86 0x0 
270 137 4253 16 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 87 0x0 
272 154 4234 24 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 87 0x0 
274 52 4269 30 0 0 0x1 0 0 0 0x0 6 6 92 0x1 20 20 82 0x1 
276 91 4256 26 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 80 0x0 
278 59 4260 20 0 0 0x1 0 0 0 0x0 1 1 13 0x0 20 20 83 0x0 
280 53 4268 29 0 0 0x1 0 0 0 0x0 7 7 95 0x0 20 20 85 0x0 
282 165 4231 32 0 0 0x1 0 0 0 0x0 4 4 70 0x1 20 20 85 0x0 
284 73 4263 22 0 0 0x1 0 0 0 0x0 5 5 55 0x0 19 19 86 0x1 
286 143 4247 24 0 0 0x1 0 0 0 0x0 7 7 98 0x0 9 9 25 0x0 
288 179 4229 12 0 0 0x1 0 0 0 0x0 3 3 40 0x0 8 8 19 0x0 
290 116 4255 37 0 0 0x1 0 0 0 0x0 6 6 74 0x0 16 16 56 0x0 
292 52 4267 22 0 0 0x1 0 0 0 0x0 7 7 94 0x0 20 20 86 0x0 
294 182 4228 14 0 0 0x1 0 0 0 0x0 0 0 13 0x1 21 21 85 0x0 
296 52 4268 30 0 0 0x1 0 0 0 0x0 6 6 63 0x0 19 19 83 0x1 
298 170 4231 29 0 0 0x1 0 0 0 0x0 5 5 84 0x1 20 20 81 0x0 
300 63 4265 23 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 86 0x0 
302 53 4267 34 0 0 0x1 0 0 0 0x0 7 7 87 0x1 21 21 85 0x0 
304 160 4231 25 0 0 0x1 0 0 0 0x0 4 4 40 0x0 20 20 84 0x0 
306 106 4251 21 0 0 0x1 0 0 0 0x0 6 6 77 0x0 20 20 86 0x0 
308 53 4267 26 0 0 0x1 0 0 0 0x0 6 6 93 0x1 19 19 84 0x1 
310 82 4258 18 0 0 0x1 0 0 0 0x0 4 4 37 0x0 20 20 81 0x0 
312 53 4268 28 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 85 0x0 
314 213 4230 30 0 0 0x1 0 0 0 0x0 5 5 80 0x1 21 21 85 0x0 
316 53 4267 25 0 0 0x1 0 0 0 0x0 5 5 48 0x0 20 20 87 0x0 
318 91 4252 27 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 86 0x0 
320 160 4230 19 0 0 0x1 0 0 0 0x0 3 3 54 0x1 8 8 26 0x1 
322 53 4262 31 0 0 0x1 0 0 0 0x0 7 7 77 0x0 10 10 19 0x1 
324 108 4257 32 0 0 0x1 0 0 0 0x0 6 6 79 0x0 15 15 59 0x0 
326 83 4256 15 0 0 0x1 0 0 0 0x0 3 3 53 0x1 18 18 72 0x0 
328 53 4268 16 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 87 0x0 
330 265 4230 16 0 0 0x1 0 0 0 0x0 5 5 84 0x1 20 20 83 0x0 
332 145 4250 30 0 0 0x1 0 0 0 0x0 4 4 48 0x1 20 20 78 0x0 
334 52 4267 25 0 0 0x1 0 0 0 0x0 5 5 49 0x0 20 20 84 0x0 
336 168 4230 12 0 0 0x1 0 0 0 0x0 3 3 54 0x1 20 20 85 0x0 
338 193 4235 25 0 0 0x1 0 0 0 0x0 4 4 52 0x1 20 20 85 0x0 
340 69 4264 29 0 0 0x1 0 0 0 0x0 5 5 47 0x0 20 20 84 0x0 
342 149 4248 24 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 86 0x0 
