# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
128 175 4234 44 0 0 0x1 0 0 0 0x0 5 5 81 0x1 15 15 48 0x0 
130 59 4254 18 0 0 0x1 0 0 0 0x0 5 5 50 0x0 19 19 86 0x1 
132 113 4260 35 0 0 0x1 0 0 0 0x0 4 4 49 0x0 19 19 76 0x0 
134 148 4238 36 0 0 0x1 0 0 0 0x0 3 3 53 0x1 21 21 84 0x0 
136 53 4264 18 0 0 0x1 0 0 0 0x0 7 7 78 0x0 18 18 73 0x0 
138 137 4247 25 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 86 0x0 
140 146 4245 22 0 0 0x1 0 0 0 0x0 4 4 52 0x0 18 18 81 0x1 
142 53 4264 36 0 0 0x1 0 0 0 0x0 4 4 50 0x0 20 20 81 0x0 
144 245 4229 29 0 0 0x1 0 0 0 0x0 5 5 79 0x1 20 20 85 0x0 
146 107 4251 19 0 0 0x1 0 0 0 0x0 5 5 52 0x0 20 20 85 0x0 
148 52 4266 32 0 0 0x1 0 0 0 0x0 6 6 82 0x0 20 20 84 0x0 
150 151 4224 24 0 0 0x1 0 0 0 0x0 3 3 55 0x1 20 20 87 0x0 
152 68 4258 37 0 0 0x1 0 0 0 0x0 5 5 49 0x0 20 20 81 0x0 
154 79 4263 32 0 0 0x1 0 0 0 0x0 6 6 84 0x0 20 20 85 0x0 
156 62 4258 10 0 0 0x1 0 0 0 0x0 3 3 37 0x0 20 20 86 0x0 
158 249 4226 40 0 0 0x1 0 0 0 0x0 7 7 92 0x0 11 11 37 0x1 
160 213 4206 25 0 0 0x1 0 0 0 0x0 5 5 80 0x1 8 8 20 0x1 
162 64 4252 24 0 0 0x1 0 0 0 0x0 2 2 15 0x1 15 15 50 0x0 
