== ut-callwatch2 start 2026-09-05 10:23:35  (900s)
== card:    iccid=...6542 mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: lte   imsradio netdevs: 0
10:25:04 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
10:25:05 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:07 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:08 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:09 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:10 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:11 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:12 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:13 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:15 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:16 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:17 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:18 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:19 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
10:25:20 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:25:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:07 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
10:26:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
