== ut-callwatch2 start 2026-09-05 07:13:54  (900s)
== card:    iccid=...6542 mcc=216 mnc=70
== network: name= mcc= mnc=
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
07:15:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:35 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:43 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:15:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
