# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
128 124 4283 11 0 0 0x1 0 0 0 0x0 4 4 40 0x0 20 20 82 0x0 
130 84 4294 24 0 0 0x1 0 0 0 0x0 6 6 77 0x0 21 21 84 0x0 
132 85 4301 14 0 0 0x1 0 0 0 0x0 6 6 93 0x1 20 20 87 0x0 
134 293 4259 11 0 0 0x1 0 0 0 0x0 3 3 39 0x1 20 20 87 0x0 
136 157 4298 33 0 0 0x1 0 0 0 0x0 5 5 49 0x0 20 20 80 0x0 
138 166 4280 25 0 0 0x1 0 0 0 0x0 5 5 79 0x1 19 19 86 0x1 
140 193 4281 27 0 0 0x1 0 0 0 0x0 5 5 51 0x0 20 20 83 0x0 
142 113 4289 22 0 0 0x1 0 0 0 0x0 6 6 82 0x0 9 9 35 0x1 
144 209 4260 21 0 0 0x1 0 0 0 0x0 3 3 56 0x1 8 8 18 0x1 
146 53 4305 21 0 0 0x1 0 0 0 0x0 5 5 52 0x0 14 14 52 0x0 
148 52 4306 27 0 0 0x1 0 0 0 0x0 6 6 83 0x0 21 21 86 0x0 
150 53 4302 30 0 0 0x1 0 0 0 0x0 4 4 51 0x0 19 19 84 0x1 
152 101 4288 23 0 0 0x1 0 0 0 0x0 6 6 81 0x0 20 20 81 0x0 
154 67 4307 26 0 0 0x1 0 0 0 0x0 5 5 82 0x1 20 20 85 0x0 
156 53 4304 27 0 0 0x1 0 0 0 0x0 5 5 47 0x0 21 21 85 0x0 
158 56 4288 13 0 0 0x1 0 0 0 0x0 4 4 53 0x0 20 20 86 0x0 
160 189 4273 22 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 86 0x1 
162 51 4305 33 0 0 0x1 0 0 0 0x0 7 7 78 0x0 20 20 87 0x1 
164 85 4299 31 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 82 0x0 
166 62 4299 19 0 0 0x1 0 0 0 0x0 3 3 41 0x0 20 20 85 0x0 
168 172 4280 20 0 0 0x1 0 0 0 0x0 7 7 98 0x0 20 20 85 0x0 
170 211 4268 22 0 0 0x1 0 0 0 0x0 5 5 83 0x1 20 20 86 0x0 
172 63 4299 20 0 0 0x1 0 0 0 0x0 4 4 41 0x0 21 21 84 0x0 
174 62 4302 27 0 0 0x1 0 0 0 0x0 7 7 96 0x0 19 19 87 0x1 
176 217 4258 29 0 0 0x1 0 0 0 0x0 2 2 26 0x0 9 9 27 0x0 
178 134 4284 29 0 0 0x1 0 0 0 0x0 6 6 88 0x1 8 8 19 0x1 
180 125 4298 30 0 0 0x1 0 0 0 0x0 8 8 74 0x0 15 15 54 0x0 
182 188 4275 31 0 0 0x1 0 0 0 0x0 3 3 38 0x0 20 20 83 0x0 
184 71 4303 28 0 0 0x1 0 0 0 0x0 6 6 93 0x1 20 20 85 0x0 
186 197 4260 16 0 0 0x1 0 0 0 0x0 2 2 27 0x1 19 19 86 0x1 
188 59 4301 28 0 0 0x1 0 0 0 0x0 6 6 60 0x0 20 20 82 0x0 
190 58 4290 21 0 0 0x1 0 0 0 0x0 7 7 93 0x0 22 22 84 0x0 
192 53 4299 15 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 86 0x0 
194 106 4292 32 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 84 0x0 
196 93 4296 23 0 0 0x1 0 0 0 0x0 4 4 64 0x1 19 19 85 0x1 
198 101 4288 24 0 0 0x1 0 0 0 0x0 4 4 36 0x0 20 20 81 0x0 
200 165 4268 22 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 87 0x0 
202 218 4260 20 0 0 0x1 0 0 0 0x0 4 4 66 0x1 21 21 84 0x0 
204 54 4301 29 0 0 0x1 0 0 0 0x0 6 6 64 0x0 20 20 87 0x0 
206 143 4287 17 0 0 0x1 0 0 0 0x0 4 4 49 0x0 19 19 87 0x1 
208 154 4273 31 0 0 0x1 0 0 0 0x0 2 2 39 0x1 20 20 80 0x0 
210 196 4269 31 0 0 0x1 0 0 0 0x0 6 6 54 0x0 11 11 31 0x1 
212 142 4277 22 0 0 0x1 0 0 0 0x0 6 6 80 0x0 7 7 14 0x0 
214 147 4291 35 0 0 0x1 0 0 0 0x0 4 4 39 0x0 15 15 57 0x0 
216 97 4273 28 0 0 0x1 0 0 0 0x0 6 6 79 0x0 14 14 63 0x1 
218 201 4263 34 0 0 0x1 0 0 0 0x0 4 4 67 0x1 18 18 69 0x0 
220 52 4298 29 0 0 0x1 0 0 0 0x0 6 6 64 0x0 19 19 85 0x1 
222 52 4299 22 0 0 0x1 0 0 0 0x0 6 6 79 0x0 13 13 50 0x0 
224 78 4287 36 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 82 0x0 
