# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns  state
# ☠️ state=down with awake_ms=1000 means the master was ASLEEP THE WHOLE SECOND
#    and the edge-updated counter simply did not advance - NOT 100% awake.
144.7 708.2 311.8 1.020 1 up+cores
145.7 640.2 399.8 1.040 3 up
146.7 245.6 784.4 1.030 3 up+cores
147.8 442.2 597.8 1.040 3 up+cores
148.8 428.9 601.1 1.030 4 up
149.8 642.1 397.9 1.040 1 up+cores
150.9 630.8 399.2 1.030 2 up+cores
151.9 429.1 600.9 1.030 3 up+cores
152.9 458.7 581.3 1.040 4 up
154.0 429.2 600.8 1.030 3 up
155.0 432.1 597.9 1.030 2 up+cores
156.0 766.9 263.1 1.030 2 up+cores
157.0 429.1 600.9 1.030 4 up
158.1 442.3 597.7 1.040 3 up
159.1 433.0 597.0 1.030 3 up
160.2 188.2 841.8 1.030 3 up+cores
161.2 984.8 45.2 1.030 1 up+cores
162.2 442.5 597.5 1.040 4 up
163.2 450.9 579.1 1.030 3 up
164.3 442.0 598.0 1.040 3 up
165.3 228.9 801.1 1.030 3 up+cores
166.4 842.7 197.3 1.040 1 up+cores
167.4 570.7 459.3 1.030 4 up
168.4 432.8 597.2 1.030 3 up
169.5 249.6 780.4 1.030 3 up+cores
170.5 432.2 597.8 1.030 3 up+cores
171.5 620.9 399.1 1.020 2 up+cores
172.5 820.9 219.1 1.040 3 up
173.6 429.0 601.0 1.030 3 up
174.6 182.6 857.4 1.040 3 up+cores
175.6 374.1 645.9 1.020 4 up
176.7 411.0 629.0 1.040 2 up+cores
177.7 976.3 63.7 1.040 2 up
178.7 246.6 783.4 1.030 3 up+cores
179.8 432.2 597.8 1.030 4 up
180.8 438.9 601.1 1.040 3 up
181.8 439.2 600.8 1.040 3 up
182.9 832.7 197.3 1.030 0 up+cores
183.9 543.4 486.6 1.030 3 up+cores
184.9 429.1 600.9 1.030 4 up
186.0 449.1 580.9 1.030 3 up
187.0 643.3 396.7 1.040 1 up+cores
188.0 829.8 200.2 1.030 1 up+cores
189.1 663.0 377.0 1.040 3 up
190.1 429.4 600.6 1.030 3 up
191.2 442.4 597.6 1.040 3 up
192.2 626.3 413.7 1.040 1 up+cores
193.2 1030.0 0.0 1.030 0 up+cores
194.3 651.9 388.1 1.040 4 up
195.3 439.2 600.8 1.040 3 up
196.3 249.0 781.0 1.030 3 up+cores
197.4 429.4 600.6 1.030 3 up+cores
198.4 629.1 400.9 1.030 2 up+cores
199.4 877.6 152.4 1.030 2 up
200.5 239.2 800.8 1.040 3 up+cores
201.5 432.0 598.0 1.030 3 up+cores
202.5 646.1 383.9 1.030 2 up+cores
203.5 629.6 400.4 1.030 2 up+cores
204.6 1030.0 0.0 1.030 0 up+cores
205.6 679.6 360.4 1.040 2 up+cores
206.7 446.5 583.5 1.030 4 up
207.7 431.9 598.1 1.030 3 up
208.7 424.3 615.7 1.040 3 up
209.8 745.5 294.5 1.040 1 up+cores
210.8 428.2 601.8 1.030 3 up+cores
211.8 438.9 601.1 1.040 4 up
212.9 449.1 580.9 1.030 3 up
213.9 228.6 801.4 1.030 3 up+cores
214.9 842.8 197.2 1.040 1 up+cores
216.0 630.7 399.3 1.030 3 up
217.0 428.9 601.1 1.030 3 up
218.0 431.9 598.1 1.030 3 up
219.1 256.6 783.4 1.040 3 up+cores
220.1 631.9 398.1 1.030 2 up+cores
221.1 765.8 264.2 1.030 3 up
222.2 446.0 584.0 1.030 3 up
223.2 249.1 790.9 1.040 3 up+cores
224.2 413.9 616.1 1.030 3 up+cores
225.3 396.4 643.6 1.040 3 up+cores
226.3 965.7 74.3 1.040 2 up
227.3 228.8 801.2 1.030 3 up+cores
228.4 432.1 597.9 1.030 3 up+cores
229.4 445.6 584.4 1.030 4 up
230.4 438.9 601.1 1.040 3 up
231.5 842.6 197.4 1.040 0 up
232.5 430.3 599.7 1.030 3 up+cores
233.5 429.3 600.7 1.030 4 up
234.6 441.4 598.6 1.040 3 up
235.6 459.8 580.2 1.040 3 up
236.6 629.4 400.6 1.030 1 up+cores
237.7 545.5 484.5 1.030 3 up+cores
238.7 456.2 583.8 1.040 4 up
239.7 397.1 642.9 1.040 3 up
240.8 384.2 645.8 1.030 3 up
241.8 387.1 642.9 1.030 2 up+cores
242.8 750.3 279.7 1.030 3 up
243.9 429.2 600.8 1.030 3 up
244.9 432.2 597.8 1.030 3 up
245.9 255.8 784.2 1.040 3 up+cores
247.0 431.8 598.2 1.030 3 up+cores
248.0 1020.0 0.0 1.020 1 up
249.0 440.5 599.5 1.040 3 up
250.1 231.8 798.2 1.030 3 up+cores
251.1 429.1 600.9 1.030 3 up+cores
252.1 446.1 583.9 1.030 4 up
253.2 839.8 200.2 1.040 0 up+cores
254.2 593.3 446.7 1.040 4 up
255.2 231.6 798.4 1.030 3 up+cores
256.3 429.0 601.0 1.030 4 up
257.3 411.8 628.2 1.040 3 up
258.3 609.4 430.6 1.040 1 up+cores
259.4 588.0 442.0 1.030 3 up+cores
260.4 429.3 600.7 1.030 3 up+cores
261.4 458.7 581.3 1.040 4 up
262.5 429.1 600.9 1.030 3 up
