# [qrtr://0] Successfully got RF band info
# Band Information:
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# Band Information (Extended):
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# [qrtr://0] Successfully got serving system:
# 	Registration state: 'registered'
# 	CS: 'attached'
# 	PS: 'attached'
# 	Selected network: '3gpp'
# 	Radio interfaces: '1'
# 		[0]: 'lte'
# 	Roaming status: 'off'
# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns
153.6 1030.0 0.0 1.030 4
154.6 1030.0 0.0 1.030 3
155.6 1020.0 0.0 1.020 2
156.7 1030.0 0.0 1.030 1
157.7 1020.0 0.0 1.020 4
158.7 1020.0 0.0 1.020 3
159.7 1020.0 0.0 1.020 3
160.8 1030.0 0.0 1.030 3
161.8 1020.0 0.0 1.020 0
162.8 1020.0 0.0 1.020 3
163.8 1030.0 0.0 1.030 4
164.9 1020.0 0.0 1.020 3
165.9 1030.0 0.0 1.030 3
166.9 1020.0 0.0 1.020 1
167.9 1020.0 0.0 1.020 2
168.9 1020.0 0.0 1.020 4
170.0 1030.0 0.0 1.030 3
171.0 1020.0 0.0 1.020 3
172.0 1020.0 0.0 1.020 2
173.0 1030.0 0.0 1.030 1
174.1 1020.0 0.0 1.020 4
175.1 1020.0 0.0 1.020 3
176.1 1030.0 0.0 1.030 3
177.1 1020.0 0.0 1.020 3
178.2 1030.0 0.0 1.030 0
179.2 1020.0 0.0 1.020 4
180.2 1020.0 0.0 1.020 3
181.2 1030.0 0.0 1.030 3
182.3 1020.0 0.0 1.020 3
183.3 1020.0 0.0 1.020 1
184.3 1020.0 0.0 1.020 3
185.3 1020.0 0.0 1.020 3
186.3 1030.0 0.0 1.030 3
187.4 1010.0 0.0 1.010 3
188.4 1020.0 0.0 1.020 2
189.4 1030.0 0.0 1.030 2
190.4 1020.0 0.0 1.020 3
191.4 1020.0 0.0 1.020 3
192.5 1020.0 0.0 1.020 3
193.5 1030.0 0.0 1.030 3
194.5 1020.0 0.0 1.020 1
195.5 1030.0 0.0 1.030 1
